learning_rate,depth,subsample,iterations,l2_leaf_reg,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.2,7,0.9,400,10,0.44371153,0.998873573,5.856032875,0.76672218,2.184535863,0.961019975
0.2,7,0.9,300,10,0.722861414,0.997030527,5.913142658,0.76347872,2.22536214,0.959549383
0.1,7,0.8,400,5,0.556997928,0.998246336,6.061184729,0.750051159,2.315616503,0.956201723
0.2,7,0.9,200,10,1.294807616,0.990434902,6.104966815,0.75076674,2.334168237,0.955497125
0.1,7,0.8,300,5,0.91164173,0.99531512,6.151880429,0.743311922,2.36402136,0.954351496
0.4,8,0.7,200,5,0.112094946,0.99992269,6.301271635,0.727564047,2.371848681,0.954048709
0.4,8,0.7,300,5,0.084192551,0.999943822,6.294568662,0.728008092,2.375807189,0.9538952
0.3,8,0.7,200,5,0.185646725,0.999801609,6.076489841,0.748161178,2.375877949,0.953892454
0.4,8,0.7,400,5,0.078860894,0.999944912,6.293294233,0.728114569,2.377984682,0.953810649
0.3,8,0.7,300,5,0.098920854,0.999934316,6.066195307,0.748642564,2.382680518,0.953628047
0.3,8,0.7,400,5,0.083337139,0.999943885,6.06535852,0.748719544,2.38591184,0.953502185
0.2,7,0.7,400,10,0.393517968,0.999122663,6.045296341,0.755467331,2.387172804,0.953453024
0.3,8,0.7,100,5,0.693887406,0.997276868,6.133020019,0.745773227,2.408581754,0.952614383
0.2,7,0.8,400,10,0.405758977,0.999064129,5.839675257,0.766200262,2.40872374,0.952608796
0.2,7,0.7,300,10,0.639558087,0.997691414,6.109790159,0.751245841,2.411195836,0.95251147
0.1,7,0.9,400,5,0.563086363,0.998204419,5.823393893,0.769632473,2.427497012,0.951867196
0.1,7,0.8,400,3,0.268035474,0.999592936,5.926719772,0.767776213,2.427596173,0.951863263
0.4,8,0.7,100,5,0.409106066,0.999052869,6.364913815,0.723121455,2.433755869,0.951618672
0.2,7,0.8,300,10,0.670913423,0.997455986,5.891500395,0.763137023,2.439455058,0.951391816
0.3,7,0.9,200,5,0.240609933,0.999670181,6.232815226,0.731180621,2.442355672,0.951276152
0.3,7,0.9,300,5,0.11110508,0.999922712,6.218276438,0.732121431,2.445346228,0.951156759
0.1,7,0.8,300,3,0.479142777,0.998705318,5.958210468,0.765539498,2.446276801,0.951119578
0.1,7,0.6,400,5,0.543117208,0.998313349,5.886768,0.763173268,2.450878419,0.95093551
0.3,7,0.8,400,10,0.187120612,0.999795913,5.975830926,0.757545339,2.453839247,0.950816891
0.3,7,0.9,400,5,0.085398327,0.999942976,6.213267902,0.732456155,2.45562979,0.950745088
0.3,7,0.8,300,10,0.329866875,0.999375574,5.993121016,0.756590975,2.459331506,0.950596479
0.2,7,0.9,400,5,0.140481163,0.999884083,6.047345443,0.755034412,2.459895604,0.950573813
0.2,7,0.9,300,5,0.253261387,0.999634324,6.05378561,0.755074329,2.460244164,0.950559805
0.2,7,0.9,400,3,0.089399085,0.999941616,6.125146116,0.749154837,2.462795766,0.950457199
0.2,7,0.9,200,5,0.57499445,0.998133358,6.107267158,0.752045888,2.464690356,0.950380945
