learning_rate,depth,subsample,iterations,l2_leaf_reg,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.2,7,0.9,400,10,0.487651852,0.998660158,3.677537783,,2.184535863,0.961019975
0.2,7,0.9,300,10,0.757873298,0.99676837,3.795508322,,2.22536214,0.959549383
0.1,7,0.8,400,5,0.606620974,0.997933006,3.536054882,,2.315616503,0.956201723
0.2,7,0.9,200,10,1.303022585,0.990458701,4.129486225,,2.334168237,0.955497125
0.1,7,0.8,300,5,0.943672663,0.995001976,3.749498755,,2.36402136,0.954351496
0.4,8,0.7,200,5,0.15746478,0.999860175,3.643565225,,2.371848681,0.954048709
0.4,8,0.7,300,5,0.11713304,0.999921742,3.655535631,,2.375807189,0.9538952
0.3,8,0.7,200,5,0.243107595,0.999667066,3.576374173,,2.375877949,0.953892454
0.4,8,0.7,400,5,0.112994117,0.999926602,3.657872025,,2.377984682,0.953810649
0.3,8,0.7,300,5,0.136403123,0.999895032,3.562721223,,2.382680518,0.953628047
0.3,8,0.7,400,5,0.116792746,0.99992228,3.561587301,,2.38591184,0.953502185
0.2,7,0.7,400,10,0.471271999,0.998749973,3.501413314,,2.387172804,0.953453024
0.3,8,0.7,100,5,0.775214685,0.996621302,3.726061454,,2.408581754,0.952614383
0.2,7,0.8,400,10,0.471403349,0.998749411,3.726585614,,2.40872374,0.952608796
0.2,7,0.7,300,10,0.708231921,0.997178907,3.618192243,,2.411195836,0.95251147
0.1,7,0.9,400,5,0.59225647,0.998028471,3.677441511,,2.427497012,0.951867196
0.1,7,0.8,400,3,0.324554693,0.99940783,3.544729582,,2.427596173,0.951863263
0.4,8,0.7,100,5,0.497170519,0.998609615,3.690476086,,2.433755869,0.951618672
0.2,7,0.8,300,10,0.731240975,0.996992773,3.872763647,,2.439455058,0.951391816
0.3,7,0.9,200,5,0.297478106,0.999501372,3.645093449,,2.442355672,0.951276152
0.3,7,0.9,300,5,0.154393712,0.999865415,3.599475543,,2.445346228,0.951156759
0.1,7,0.8,300,3,0.559778707,0.998239028,3.638018982,,2.446276801,0.951119578
0.1,7,0.6,400,5,0.607668021,0.997926163,3.736013602,,2.450878419,0.95093551
0.3,7,0.8,400,10,0.246440382,0.999658403,3.624226452,,2.453839247,0.950816891
0.3,7,0.9,400,5,0.121534268,0.999916081,3.59220677,,2.45562979,0.950745088
0.3,7,0.8,300,10,0.394978985,0.999122589,3.691723176,,2.459331506,0.950596479
0.2,7,0.9,400,5,0.176899936,0.999823693,3.740227433,,2.459895604,0.950573813
0.2,7,0.9,300,5,0.290998612,0.999522975,3.783761929,,2.460244164,0.950559805
0.2,7,0.9,400,3,0.122732555,0.999914621,3.553247186,,2.462795766,0.950457199
0.2,7,0.9,200,5,0.594876302,0.998008835,3.919264675,,2.464690356,0.950380945
0.2,7,0.9,300,3,0.157088968,0.999860969,3.565535785,,2.465345988,0.950354543
0.2,7,0.9,200,3,0.312409872,0.999450919,3.609548405,,2.465707822,0.950339969
0.1,5,0.6,400,5,1.028828057,0.994058256,3.79819188,,2.470726388,0.950137613
0.3,3,0.7,100,3,2.204422689,0.972734375,4.447879016,,2.474691543,0.949977441
0.1,7,0.9,300,5,0.932485558,0.99511777,3.879470679,,2.477991532,0.949843942
0.1,7,0.9,400,10,1.351102599,0.989742231,4.141110418,,2.488467958,0.949418947
0.1,7,0.6,300,5,0.911541987,0.995336863,3.886705466,,2.510367433,0.948524765
0.2,5,0.7,300,5,0.636682671,0.997719397,3.552706384,,2.51174337,0.948468322
0.1,7,0.9,400,1,0.130487036,0.999903914,3.508442586,,2.514165006,0.948368908
0.1,8,0.6,400,5,0.478814571,0.998710995,3.642703169,,2.515593132,0.948310235
0.2,7,0.8,300,5,0.299212281,0.999495931,3.607326461,,2.518314037,0.948198358
0.3,3,0.7,200,3,1.279364392,0.990810935,4.051026889,,2.519134564,0.948164596
0.2,5,0.7,400,5,0.442095057,0.998899136,3.475801955,,2.520393931,0.948112756
0.2,7,0.8,400,5,0.188119333,0.999800545,3.562744102,,2.521043622,0.948086002
0.1,7,0.9,300,1,0.18860158,0.999799915,3.524727825,,2.527022439,0.947839475
0.3,7,0.9,100,5,0.967836422,0.994732793,3.997575708,,2.528196063,0.947791014
0.1,7,0.7,400,1,0.152047966,0.999869706,3.66482974,,2.53002761,0.947715341
0.1,7,0.9,400,3,0.314456114,0.999443342,3.557748911,,2.537634913,0.947400449
0.3,7,0.8,200,10,0.741634185,0.996908091,3.887984494,,2.542753373,0.947188046
0.1,7,0.8,200,3,1.071317177,0.993555737,3.957059488,,2.54290787,0.947181628
0.2,8,0.7,200,3,0.264094276,0.999607685,3.641626325,,2.543975588,0.947137264
0.1,7,0.7,300,1,0.234339832,0.999691025,3.692607426,,2.545603871,0.947069572
0.1,5,0.8,400,3,0.677772709,0.997419526,3.683888355,,2.54677795,0.947020736
0.1,7,0.9,300,3,0.537936129,0.998372191,3.642671949,,2.547084819,0.947007968
0.1,7,0.6,400,10,1.152929727,0.992541199,3.931293476,,2.548103463,0.946965574
0.2,7,0.8,200,5,0.596404999,0.998000523,3.737714853,,2.550827742,0.946852111
0.2,8,0.7,400,3,0.118200455,0.999920723,3.597789685,,2.551500151,0.946824087
0.1,7,0.9,200,1,0.431810235,0.998950906,3.599709928,,2.55189005,0.946807834
0.2,8,0.7,300,3,0.142123594,0.999886254,3.607838734,,2.551935835,0.946805925
0.3,7,0.6,400,10,0.268786768,0.999592846,3.512400896,,2.560267209,0.94645803
0.4,3,0.6,200,5,1.283499625,0.99074113,4.073839272,,2.561138624,0.946421577
0.2,7,0.7,200,10,1.210910699,0.991765,3.905256261,,2.561479036,0.946407333
0.4,5,0.8,300,10,0.487007292,0.998664411,3.794558293,,2.563482475,0.946323466
0.1,8,0.6,300,5,0.737746619,0.996943248,3.754394803,,2.566878513,0.946181153
0.3,7,0.6,300,10,0.406549452,0.999068941,3.545851171,,2.567398582,0.946159343
0.2,7,0.9,100,3,1.044690778,0.993863825,4.009606254,,2.56923608,0.946082247
0.1,5,0.8,300,3,0.983546368,0.994567853,3.824498511,,2.573787455,0.945891049
0.4,5,0.8,200,10,0.826344389,0.996158286,3.969270766,,2.577721433,0.945725514
0.4,5,0.8,400,10,0.335587937,0.999365411,3.714223445,,2.583110498,0.94549834
0.3,3,0.7,300,3,0.927413101,0.995168616,3.80249763,,2.589680931,0.945220726
0.3,8,0.7,200,3,0.143457672,0.999883709,3.648065495,,2.591635096,0.945138022
0.3,8,0.7,300,3,0.11521033,0.999924091,3.647799878,,2.593772345,0.945047498
0.3,8,0.7,400,3,0.112678439,0.999926872,3.64737989,,2.595720594,0.944964915
0.2,5,0.7,200,5,1.01386881,0.994225554,3.717428709,,2.600552793,0.944759817
0.1,7,0.8,300,1,0.202839053,0.999768715,3.641204948,,2.600838925,0.944747661
0.2,7,0.8,200,10,1.264916126,0.991016919,4.187279276,,2.601177197,0.944733287
0.1,7,0.8,200,1,0.445718694,0.998883637,3.750481026,,2.601925424,0.944701488
0.3,7,0.7,400,10,0.259387222,0.999621523,3.70599979,,2.602981958,0.94465657
0.1,7,0.8,400,1,0.138492468,0.999891967,3.631067224,,2.608065215,0.944440203
0.1,5,0.6,300,5,1.423538735,0.988630916,4.01821294,,2.610798529,0.944323686
0.2,5,0.8,400,10,0.796293016,0.996439802,3.816856596,,2.611213696,0.944305977
0.3,7,0.7,300,10,0.406719621,0.999069351,3.77482902,,2.61302417,0.94422872
0.3,8,0.7,100,3,0.453337256,0.998842613,3.706087318,,2.613761056,0.94419726
0.1,7,0.7,200,1,0.487240687,0.998665445,3.792889816,,2.616331782,0.944087438
0.4,8,0.6,200,5,0.171668867,0.9998337,3.518901521,,2.620014779,0.943929912
0.4,8,0.6,100,5,0.509050935,0.998538111,3.620140133,,2.620714372,0.943899964
0.3,6,0.7,300,5,0.244168824,0.999663933,3.971788297,,2.621891176,0.943849571
0.2,8,0.6,400,10,0.372704408,0.999218666,3.546970538,,2.622067256,0.943842029
0.3,7,0.9,400,10,0.246215898,0.99965702,3.723594419,,2.622267325,0.943833458
0.3,5,0.8,300,5,0.368065111,0.999237638,3.606831582,,2.625329745,0.943702193
0.3,6,0.7,400,5,0.168333181,0.999840262,3.959477309,,2.627952392,0.943589657
0.4,3,0.6,100,5,2.212848696,0.97251495,4.489903222,,2.628766791,0.943554688
0.4,8,0.6,300,5,0.120059377,0.999918054,3.514558115,,2.629721326,0.943513689
0.1,7,0.9,200,3,1.044061268,0.993878006,3.915872666,,2.62976267,0.943511913
0.4,8,0.6,400,5,0.113401216,0.999926137,3.516244832,,2.630715212,0.943470984
0.3,6,0.7,200,5,0.449900062,0.998857967,4.050010644,,2.634204024,0.943320948
0.1,7,0.8,200,5,1.63146554,0.98506491,4.151289649,,2.634397781,0.94331261
0.3,5,0.8,400,5,0.254724298,0.999634461,3.553020277,,2.634824945,0.943294225
0.4,7,0.8,200,5,0.189041266,0.999798629,3.68290993,,2.635934335,0.943246463
0.3,3,0.7,400,3,0.732196162,0.996986062,3.690879011,,2.638735821,0.943125763
0.4,7,0.8,300,5,0.124382669,0.999912481,3.666365837,,2.639724749,0.943083125
0.2,7,0.6,200,3,0.389093964,0.999146973,3.694404348,,2.640113793,0.943066347
0.1,5,0.6,400,3,0.775894683,0.996618579,3.791450707,,2.640463266,0.943051273
0.3,8,0.7,400,10,0.191860793,0.999792931,3.511536738,,2.641098735,0.943023859
0.4,7,0.8,400,5,0.114582624,0.999924999,3.665261633,,2.641622966,0.943001238
0.2,8,0.7,100,3,0.878759354,0.995659825,3.891975645,,2.642648405,0.942956978
0.2,8,0.8,400,5,0.152154118,0.99986968,3.534292226,,2.643892506,0.942903256
0.3,8,0.7,300,10,0.305291249,0.999475335,3.527668309,,2.652140226,0.942546469
0.2,8,0.8,300,5,0.240744125,0.999673263,3.549084084,,2.652895274,0.942513751
