learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2
0.3,6,0.9,400,10,0.8,0.158914047,0.999857083,3.465975597,,2.564876146,0.950866444
0.2,7,0.9,400,1,1,0.112391585,0.999926657,4.239928593,,2.59705984,0.949625666
0.2,7,0.9,300,1,1,0.112967271,0.999925905,4.241957158,,2.597971696,0.949590286
0.2,7,0.9,200,1,1,0.112407252,0.999926643,4.239214448,,2.598166954,0.949582709
0.3,8,0.8,400,5,0.6,0.164407581,0.999846665,3.606104905,,2.600979224,0.949473506
0.3,6,0.9,300,10,0.8,0.228995368,0.999703802,3.46699081,,2.602261745,0.949423665
0.2,7,0.9,100,1,1,0.116297511,0.999922317,4.238451338,,2.604866719,0.949322356
0.2,6,0.9,200,1,1,0.112514378,0.999926526,3.979406886,,2.605709369,0.949289563
0.2,6,0.9,300,1,1,0.112973742,0.999925897,3.982125513,,2.606688776,0.949251435
0.2,6,0.9,400,1,1,0.112392982,0.999926654,3.980031472,,2.60778537,0.949208728
0.3,8,0.8,300,5,0.6,0.22122543,0.999722849,3.596741449,,2.612942136,0.949007655
0.3,7,0.8,400,5,0.6,0.17656574,0.999823176,3.6024848,,2.614113588,0.948961922
0.4,8,0.8,400,5,0.6,0.126179774,0.999909211,3.591936311,,2.615059743,0.94892497
0.2,6,0.9,100,1,1,0.136666764,0.999893722,3.98185262,,2.622134374,0.948648245
0.3,7,0.8,300,5,0.6,0.239648726,0.999674645,3.58665022,,2.626518388,0.948476389
0.4,8,0.8,300,5,0.6,0.150443514,0.999871735,3.578088732,,2.627369802,0.94844298
0.3,8,0.8,200,5,0.6,0.456807602,0.998818724,3.554999779,,2.642946748,0.947829833
0.2,7,0.8,400,1,1,0.113036241,0.999925804,4.096839046,,2.643612163,0.94780356
0.2,7,0.8,200,1,1,0.11253061,0.99992648,4.088383115,,2.643658214,0.947801741
0.2,7,0.8,300,1,1,0.112794178,0.999926125,4.086107961,,2.644139177,0.947782747
