Dataset,n_features,Selected_Features
1,7,"['PI-content', 'GP-content', 'CF-content', 'time', 'temperature', 'Sizing agent-content', 'pressure']"
1,6,"['PI-content', 'GP-content', 'CF-content', 'time', 'temperature', 'Sizing agent-content']"
1,5,"['PI-content', 'GP-content', 'CF-content', 'time', 'temperature']"
1,4,"['PI-content', 'GP-content', 'CF-content', 'time']"
1,3,"['PI-content', 'GP-content', 'CF-content']"
1,2,"['PI-content', 'GP-content']"
1,1,['PI-content']
2,7,"['CF-content', 'GP-content', 'PI-content', 'temperature', 'pressure', 'Sizing agent-content', 'time']"
2,6,"['CF-content', 'GP-content', 'PI-content', 'temperature', 'pressure', 'Sizing agent-content']"
2,5,"['CF-content', 'GP-content', 'PI-content', 'temperature', 'pressure']"
2,4,"['CF-content', 'GP-content', 'PI-content', 'temperature']"
2,3,"['CF-content', 'GP-content', 'PI-content']"
2,2,"['CF-content', 'GP-content']"
2,1,['CF-content']
3,7,"['GP-content', 'PI-content', 'CF-content', 'temperature', 'Sizing agent-content', 'time', 'pressure']"
3,6,"['GP-content', 'PI-content', 'CF-content', 'temperature', 'Sizing agent-content', 'time']"
3,5,"['GP-content', 'PI-content', 'CF-content', 'temperature', 'Sizing agent-content']"
3,4,"['GP-content', 'PI-content', 'CF-content', 'temperature']"
3,3,"['GP-content', 'PI-content', 'CF-content']"
3,2,"['GP-content', 'PI-content']"
3,1,['GP-content']
4,7,"['PI-content', 'GP-content', 'CF-content', 'temperature', 'time', 'Sizing agent-content', 'pressure']"
4,6,"['PI-content', 'GP-content', 'CF-content', 'temperature', 'time', 'Sizing agent-content']"
4,5,"['PI-content', 'GP-content', 'CF-content', 'temperature', 'time']"
4,4,"['PI-content', 'GP-content', 'CF-content', 'temperature']"
4,3,"['PI-content', 'GP-content', 'CF-content']"
4,2,"['PI-content', 'GP-content']"
4,1,['PI-content']
5,7,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'time', 'Sizing agent-content', 'pressure']"
5,6,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'time', 'Sizing agent-content']"
5,5,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'time']"
5,4,"['CF-content', 'PI-content', 'GP-content', 'temperature']"
5,3,"['CF-content', 'PI-content', 'GP-content']"
5,2,"['CF-content', 'PI-content']"
5,1,['CF-content']
6,7,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time', 'pressure', 'Sizing agent-content']"
6,6,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time', 'pressure']"
6,5,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time']"
6,4,"['PI-content', 'CF-content', 'GP-content', 'temperature']"
6,3,"['PI-content', 'CF-content', 'GP-content']"
6,2,"['PI-content', 'CF-content']"
6,1,['PI-content']
7,7,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time', 'Sizing agent-content', 'pressure']"
7,6,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time', 'Sizing agent-content']"
7,5,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time']"
7,4,"['PI-content', 'CF-content', 'GP-content', 'temperature']"
7,3,"['PI-content', 'CF-content', 'GP-content']"
7,2,"['PI-content', 'CF-content']"
7,1,['PI-content']
8,7,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'Sizing agent-content', 'time', 'pressure']"
8,6,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'Sizing agent-content', 'time']"
8,5,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'Sizing agent-content']"
8,4,"['CF-content', 'PI-content', 'GP-content', 'temperature']"
8,3,"['CF-content', 'PI-content', 'GP-content']"
8,2,"['CF-content', 'PI-content']"
8,1,['CF-content']
9,7,"['PI-content', 'GP-content', 'CF-content', 'temperature', 'time', 'pressure', 'Sizing agent-content']"
9,6,"['PI-content', 'GP-content', 'CF-content', 'temperature', 'time', 'pressure']"
9,5,"['PI-content', 'GP-content', 'CF-content', 'temperature', 'time']"
9,4,"['PI-content', 'GP-content', 'CF-content', 'temperature']"
9,3,"['PI-content', 'GP-content', 'CF-content']"
9,2,"['PI-content', 'GP-content']"
9,1,['PI-content']
10,7,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'Sizing agent-content', 'time', 'pressure']"
10,6,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'Sizing agent-content', 'time']"
10,5,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'Sizing agent-content']"
10,4,"['CF-content', 'PI-content', 'GP-content', 'temperature']"
10,3,"['CF-content', 'PI-content', 'GP-content']"
10,2,"['CF-content', 'PI-content']"
10,1,['CF-content']
