Dataset,n_features,Selected_Features
1,7,"['PI-content', 'time', 'temperature', 'GP-content', 'CF-content', 'pressure', 'Sizing agent-content']"
1,6,"['PI-content', 'time', 'temperature', 'GP-content', 'CF-content', 'pressure']"
1,5,"['PI-content', 'time', 'temperature', 'GP-content', 'CF-content']"
1,4,"['PI-content', 'time', 'temperature', 'GP-content']"
1,3,"['PI-content', 'time', 'temperature']"
1,2,"['PI-content', 'time']"
1,1,['PI-content']
2,7,"['temperature', 'CF-content', 'PI-content', 'time', 'pressure', 'GP-content', 'Sizing agent-content']"
2,6,"['temperature', 'CF-content', 'PI-content', 'time', 'pressure', 'GP-content']"
2,5,"['temperature', 'CF-content', 'PI-content', 'time', 'pressure']"
2,4,"['temperature', 'CF-content', 'PI-content', 'time']"
2,3,"['temperature', 'CF-content', 'PI-content']"
2,2,"['temperature', 'CF-content']"
2,1,['temperature']
3,7,"['temperature', 'GP-content', 'PI-content', 'time', 'CF-content', 'pressure', 'Sizing agent-content']"
3,6,"['temperature', 'GP-content', 'PI-content', 'time', 'CF-content', 'pressure']"
3,5,"['temperature', 'GP-content', 'PI-content', 'time', 'CF-content']"
3,4,"['temperature', 'GP-content', 'PI-content', 'time']"
3,3,"['temperature', 'GP-content', 'PI-content']"
3,2,"['temperature', 'GP-content']"
3,1,['temperature']
4,7,"['temperature', 'time', 'PI-content', 'GP-content', 'CF-content', 'pressure', 'Sizing agent-content']"
4,6,"['temperature', 'time', 'PI-content', 'GP-content', 'CF-content', 'pressure']"
4,5,"['temperature', 'time', 'PI-content', 'GP-content', 'CF-content']"
4,4,"['temperature', 'time', 'PI-content', 'GP-content']"
4,3,"['temperature', 'time', 'PI-content']"
4,2,"['temperature', 'time']"
4,1,['temperature']
5,7,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content', 'pressure', 'Sizing agent-content']"
5,6,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content', 'pressure']"
5,5,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content']"
5,4,"['temperature', 'PI-content', 'time', 'CF-content']"
5,3,"['temperature', 'PI-content', 'time']"
5,2,"['temperature', 'PI-content']"
5,1,['temperature']
6,7,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content', 'pressure', 'Sizing agent-content']"
6,6,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content', 'pressure']"
6,5,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content']"
6,4,"['temperature', 'PI-content', 'time', 'CF-content']"
6,3,"['temperature', 'PI-content', 'time']"
6,2,"['temperature', 'PI-content']"
6,1,['temperature']
7,7,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content', 'pressure', 'Sizing agent-content']"
7,6,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content', 'pressure']"
7,5,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content']"
7,4,"['temperature', 'PI-content', 'time', 'CF-content']"
7,3,"['temperature', 'PI-content', 'time']"
7,2,"['temperature', 'PI-content']"
7,1,['temperature']
8,7,"['temperature', 'time', 'PI-content', 'CF-content', 'GP-content', 'pressure', 'Sizing agent-content']"
8,6,"['temperature', 'time', 'PI-content', 'CF-content', 'GP-content', 'pressure']"
8,5,"['temperature', 'time', 'PI-content', 'CF-content', 'GP-content']"
8,4,"['temperature', 'time', 'PI-content', 'CF-content']"
8,3,"['temperature', 'time', 'PI-content']"
8,2,"['temperature', 'time']"
8,1,['temperature']
9,7,"['temperature', 'PI-content', 'time', 'GP-content', 'CF-content', 'pressure', 'Sizing agent-content']"
9,6,"['temperature', 'PI-content', 'time', 'GP-content', 'CF-content', 'pressure']"
9,5,"['temperature', 'PI-content', 'time', 'GP-content', 'CF-content']"
9,4,"['temperature', 'PI-content', 'time', 'GP-content']"
9,3,"['temperature', 'PI-content', 'time']"
9,2,"['temperature', 'PI-content']"
9,1,['temperature']
10,7,"['temperature', 'time', 'PI-content', 'CF-content', 'GP-content', 'pressure', 'Sizing agent-content']"
10,6,"['temperature', 'time', 'PI-content', 'CF-content', 'GP-content', 'pressure']"
10,5,"['temperature', 'time', 'PI-content', 'CF-content', 'GP-content']"
10,4,"['temperature', 'time', 'PI-content', 'CF-content']"
10,3,"['temperature', 'time', 'PI-content']"
10,2,"['temperature', 'time']"
10,1,['temperature']
