Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2
6,7,0.803627104,0.996381593,3.737436193,,2.564254215,0.946291143
1,7,0.813344809,0.995813444,3.59453355,,3.475277023,0.931959237
9,7,0.798272292,0.996432483,3.95738077,,2.880558791,0.923314059
2,6,2.213636957,0.970499564,4.299031946,,3.958526295,0.914463264
10,7,0.796916446,0.996422718,3.502891653,,3.40405672,0.913455599
8,7,0.822428252,0.996128937,3.765025658,,3.645307284,0.910192663
2,7,0.833383986,0.995818752,3.416669892,,4.149122412,0.906028079
3,7,0.798547949,0.995616001,3.361012926,,5.081390303,0.902234962
6,6,2.524645112,0.964288435,4.184756922,,3.505107427,0.89964791
2,5,2.263456891,0.969156752,4.199293077,,4.324229726,0.897928823
10,6,2.508697648,0.964549346,4.244407917,,3.761852374,0.89430635
1,6,2.64730815,0.95564766,4.300051667,,4.43902065,0.88898935
9,6,2.507797382,0.96479139,4.366380877,,3.695579288,0.873780251
3,6,2.208488342,0.966468063,4.029400678,,6.248418531,0.852171324
5,7,0.873364783,0.995613807,3.972347629,,4.413232364,0.85147573
8,6,2.664966632,0.959354004,4.350912486,,5.024671592,0.829368623
5,6,2.419010924,0.966351006,4.23792005,,4.75318115,0.827712975
7,7,0.82943403,0.996141954,3.654946352,,4.530174812,0.827175048
4,6,2.477573759,0.959450618,3.771063864,,6.481175811,0.822128798
2,4,4.106963875,0.898455265,6.202549808,,5.709901112,0.822031647
4,7,0.550856957,0.997995488,2.984539393,,6.727253835,0.808365515
3,5,3.983759131,0.890892512,5.759179784,,7.348172871,0.795554671
3,4,3.985370137,0.890804249,5.928977414,,7.494856024,0.787310989
4,3,5.241253564,0.81853144,6.107346177,,7.440015735,0.765606403
8,5,4.378386269,0.89028592,6.514638626,,5.979248494,0.758377854
4,5,3.989475849,0.894861269,5.81510978,,7.729927199,0.746983501
8,4,4.388215503,0.889792763,6.420715734,,6.170475563,0.742675697
8,3,5.372210964,0.834826512,6.310713192,,6.173693965,0.742407196
10,3,5.584551397,0.824327337,6.289694586,,5.906957735,0.73940077
4,4,3.995364769,0.894550646,5.703862188,,8.000167136,0.728983236
5,5,4.053027288,0.90553836,5.927612457,,6.019509099,0.723684028
1,4,3.803792456,0.90843254,5.980717664,,7.035570652,0.721138235
5,4,4.052606944,0.905557952,6.279992583,,6.049033226,0.720966865
10,4,4.019898176,0.908975625,5.994350152,,6.199085733,0.712987583
2,3,8.287793832,0.586482852,8.254243197,,7.277387674,0.710907631
10,5,4.020739583,0.908937516,5.846323488,,6.292202647,0.704300355
1,5,3.762074098,0.91043007,6.085372952,,7.328457565,0.697437242
6,5,3.949887036,0.912586691,5.639503234,,6.234789973,0.682482685
7,6,1.427730195,0.98856869,3.553137857,,6.434709944,0.651314029
6,4,3.943976165,0.912848118,5.989312406,,6.642130642,0.639638336
1,3,5.169099714,0.830902432,6.293207765,,8.022273229,0.637435554
5,3,5.233707284,0.842487405,6.32111909,,7.233962861,0.600941663
3,3,7.884032873,0.572668146,7.904968108,,10.2669987,0.600878175
7,4,3.777500646,0.919977374,5.617408771,,7.409655459,0.5376482
7,5,3.774358196,0.920110458,5.271063947,,7.418951523,0.536487351
6,3,5.059776921,0.856559778,5.857218065,,7.567148082,0.532277542
9,4,3.928435039,0.913602109,5.887664383,,7.216893876,0.518647868
9,5,3.91435162,0.914220471,5.641521067,,7.277756802,0.510494766
10,2,9.729963795,0.466726442,7.988468598,,8.156306521,0.503141781
9,3,5.427456631,0.835086309,6.097886651,,7.416613018,0.491637508
9,2,8.938480026,0.552707788,8.417043486,,8.300579204,0.363235186
3,2,7.884041262,0.572667237,8.230574819,,12.9995377,0.36015574
2,2,8.287804945,0.586481743,8.352243959,,11.01162106,0.338106491
6,2,8.755579529,0.57048533,8.007894918,,9.280362522,0.296516946
4,2,8.101139017,0.566465942,7.506462379,,13.13063765,0.269921316
7,3,4.690185664,0.876637325,5.512905054,,9.727575781,0.203133133
8,2,8.925640521,0.544054426,7.655034254,,10.87318047,0.200981703
5,2,8.479603777,0.586526627,8.189746566,,10.28997061,0.192556565
1,2,7.828564164,0.612142875,8.250853616,,12.06997868,0.179264307
7,1,12.57890563,0.112661297,9.742013435,,9.881240713,0.17775833
2,1,11.96098058,0.138710374,9.620005342,,12.31058429,0.17273826
3,1,11.09478457,0.153735424,8.709820277,,15.11334415,0.135152357
5,1,12.34421235,0.123759757,10.04369579,,10.92322372,0.090117115
4,1,11.21061357,0.169786451,8.986580841,,14.96800941,0.051306053
10,1,12.17426955,0.165140435,9.576796845,,11.44674508,0.02139051
6,1,12.31132,0.15078541,9.959752884,,10.95360296,0.019973663
8,1,11.93948303,0.18415949,9.39383206,,12.40883485,-0.040652041
7,2,8.509799231,0.593891261,7.63457111,,11.2737371,-0.070316769
1,1,10.23361826,0.337225229,8.641718308,,13.99096539,-0.102771871
9,1,12.32299986,0.149847424,9.848867276,,11.02382723,-0.12312232
