Dataset,n_features,Selected_Features
1,7,"['PI-content', 'time', 'temperature', 'GP-content', 'CF-content', 'pressure', 'Sizing agent-content']"
1,6,"['PI-content', 'time', 'temperature', 'GP-content', 'CF-content', 'pressure']"
1,5,"['PI-content', 'time', 'temperature', 'GP-content', 'CF-content']"
1,4,"['PI-content', 'time', 'temperature', 'GP-content']"
1,3,"['PI-content', 'time', 'temperature']"
1,2,"['PI-content', 'time']"
1,1,['PI-content']
2,7,"['temperature', 'PI-content', 'CF-content', 'time', 'pressure', 'GP-content', 'Sizing agent-content']"
2,6,"['temperature', 'PI-content', 'CF-content', 'time', 'pressure', 'GP-content']"
2,5,"['temperature', 'PI-content', 'CF-content', 'time', 'pressure']"
2,4,"['temperature', 'PI-content', 'CF-content', 'time']"
2,3,"['temperature', 'PI-content', 'CF-content']"
2,2,"['temperature', 'PI-content']"
2,1,['temperature']
3,7,"['temperature', 'PI-content', 'GP-content', 'time', 'CF-content', 'pressure', 'Sizing agent-content']"
3,6,"['temperature', 'PI-content', 'GP-content', 'time', 'CF-content', 'pressure']"
3,5,"['temperature', 'PI-content', 'GP-content', 'time', 'CF-content']"
3,4,"['temperature', 'PI-content', 'GP-content', 'time']"
3,3,"['temperature', 'PI-content', 'GP-content']"
3,2,"['temperature', 'PI-content']"
3,1,['temperature']
4,7,"['temperature', 'PI-content', 'time', 'GP-content', 'CF-content', 'pressure', 'Sizing agent-content']"
4,6,"['temperature', 'PI-content', 'time', 'GP-content', 'CF-content', 'pressure']"
4,5,"['temperature', 'PI-content', 'time', 'GP-content', 'CF-content']"
4,4,"['temperature', 'PI-content', 'time', 'GP-content']"
4,3,"['temperature', 'PI-content', 'time']"
4,2,"['temperature', 'PI-content']"
4,1,['temperature']
5,7,"['PI-content', 'temperature', 'time', 'CF-content', 'GP-content', 'Sizing agent-content', 'pressure']"
5,6,"['PI-content', 'temperature', 'time', 'CF-content', 'GP-content', 'Sizing agent-content']"
5,5,"['PI-content', 'temperature', 'time', 'CF-content', 'GP-content']"
5,4,"['PI-content', 'temperature', 'time', 'CF-content']"
5,3,"['PI-content', 'temperature', 'time']"
5,2,"['PI-content', 'temperature']"
5,1,['PI-content']
6,7,"['PI-content', 'temperature', 'time', 'CF-content', 'pressure', 'GP-content', 'Sizing agent-content']"
6,6,"['PI-content', 'temperature', 'time', 'CF-content', 'pressure', 'GP-content']"
6,5,"['PI-content', 'temperature', 'time', 'CF-content', 'pressure']"
6,4,"['PI-content', 'temperature', 'time', 'CF-content']"
6,3,"['PI-content', 'temperature', 'time']"
6,2,"['PI-content', 'temperature']"
6,1,['PI-content']
7,7,"['PI-content', 'temperature', 'CF-content', 'time', 'GP-content', 'pressure', 'Sizing agent-content']"
7,6,"['PI-content', 'temperature', 'CF-content', 'time', 'GP-content', 'pressure']"
7,5,"['PI-content', 'temperature', 'CF-content', 'time', 'GP-content']"
7,4,"['PI-content', 'temperature', 'CF-content', 'time']"
7,3,"['PI-content', 'temperature', 'CF-content']"
7,2,"['PI-content', 'temperature']"
7,1,['PI-content']
8,7,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content', 'pressure', 'Sizing agent-content']"
8,6,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content', 'pressure']"
8,5,"['temperature', 'PI-content', 'time', 'CF-content', 'GP-content']"
8,4,"['temperature', 'PI-content', 'time', 'CF-content']"
8,3,"['temperature', 'PI-content', 'time']"
8,2,"['temperature', 'PI-content']"
8,1,['temperature']
9,7,"['PI-content', 'temperature', 'time', 'GP-content', 'CF-content', 'pressure', 'Sizing agent-content']"
9,6,"['PI-content', 'temperature', 'time', 'GP-content', 'CF-content', 'pressure']"
9,5,"['PI-content', 'temperature', 'time', 'GP-content', 'CF-content']"
9,4,"['PI-content', 'temperature', 'time', 'GP-content']"
9,3,"['PI-content', 'temperature', 'time']"
9,2,"['PI-content', 'temperature']"
9,1,['PI-content']
10,7,"['temperature', 'PI-content', 'time', 'GP-content', 'CF-content', 'pressure', 'Sizing agent-content']"
10,6,"['temperature', 'PI-content', 'time', 'GP-content', 'CF-content', 'pressure']"
10,5,"['temperature', 'PI-content', 'time', 'GP-content', 'CF-content']"
10,4,"['temperature', 'PI-content', 'time', 'GP-content']"
10,3,"['temperature', 'PI-content', 'time']"
10,2,"['temperature', 'PI-content']"
10,1,['temperature']
