Dataset,n_features,Selected_Features
1,7,"['PI-content', 'GP-content', 'CF-content', 'time', 'temperature', 'Sizing agent-content', 'pressure']"
1,6,"['PI-content', 'GP-content', 'CF-content', 'time', 'temperature', 'Sizing agent-content']"
1,5,"['PI-content', 'GP-content', 'CF-content', 'time', 'temperature']"
1,4,"['PI-content', 'GP-content', 'CF-content', 'time']"
1,3,"['PI-content', 'GP-content', 'CF-content']"
1,2,"['PI-content', 'GP-content']"
1,1,['PI-content']
2,7,"['CF-content', 'pressure', 'temperature', 'GP-content', 'PI-content', 'time', 'Sizing agent-content']"
2,6,"['CF-content', 'pressure', 'temperature', 'GP-content', 'PI-content', 'time']"
2,5,"['CF-content', 'pressure', 'temperature', 'GP-content', 'PI-content']"
2,4,"['CF-content', 'pressure', 'temperature', 'GP-content']"
2,3,"['CF-content', 'pressure', 'temperature']"
2,2,"['CF-content', 'pressure']"
2,1,['CF-content']
3,7,"['GP-content', 'PI-content', 'temperature', 'CF-content', 'Sizing agent-content', 'pressure', 'time']"
3,6,"['GP-content', 'PI-content', 'temperature', 'CF-content', 'Sizing agent-content', 'pressure']"
3,5,"['GP-content', 'PI-content', 'temperature', 'CF-content', 'Sizing agent-content']"
3,4,"['GP-content', 'PI-content', 'temperature', 'CF-content']"
3,3,"['GP-content', 'PI-content', 'temperature']"
3,2,"['GP-content', 'PI-content']"
3,1,['GP-content']
4,7,"['temperature', 'PI-content', 'GP-content', 'CF-content', 'time', 'pressure', 'Sizing agent-content']"
4,6,"['temperature', 'PI-content', 'GP-content', 'CF-content', 'time', 'pressure']"
4,5,"['temperature', 'PI-content', 'GP-content', 'CF-content', 'time']"
4,4,"['temperature', 'PI-content', 'GP-content', 'CF-content']"
4,3,"['temperature', 'PI-content', 'GP-content']"
4,2,"['temperature', 'PI-content']"
4,1,['temperature']
5,7,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'time', 'Sizing agent-content', 'pressure']"
5,6,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'time', 'Sizing agent-content']"
5,5,"['CF-content', 'PI-content', 'GP-content', 'temperature', 'time']"
5,4,"['CF-content', 'PI-content', 'GP-content', 'temperature']"
5,3,"['CF-content', 'PI-content', 'GP-content']"
5,2,"['CF-content', 'PI-content']"
5,1,['CF-content']
6,7,"['PI-content', 'CF-content', 'temperature', 'GP-content', 'pressure', 'time', 'Sizing agent-content']"
6,6,"['PI-content', 'CF-content', 'temperature', 'GP-content', 'pressure', 'time']"
6,5,"['PI-content', 'CF-content', 'temperature', 'GP-content', 'pressure']"
6,4,"['PI-content', 'CF-content', 'temperature', 'GP-content']"
6,3,"['PI-content', 'CF-content', 'temperature']"
6,2,"['PI-content', 'CF-content']"
6,1,['PI-content']
7,7,"['temperature', 'CF-content', 'PI-content', 'GP-content', 'time', 'pressure', 'Sizing agent-content']"
7,6,"['temperature', 'CF-content', 'PI-content', 'GP-content', 'time', 'pressure']"
7,5,"['temperature', 'CF-content', 'PI-content', 'GP-content', 'time']"
7,4,"['temperature', 'CF-content', 'PI-content', 'GP-content']"
7,3,"['temperature', 'CF-content', 'PI-content']"
7,2,"['temperature', 'CF-content']"
7,1,['temperature']
8,7,"['temperature', 'CF-content', 'PI-content', 'GP-content', 'pressure', 'Sizing agent-content', 'time']"
8,6,"['temperature', 'CF-content', 'PI-content', 'GP-content', 'pressure', 'Sizing agent-content']"
8,5,"['temperature', 'CF-content', 'PI-content', 'GP-content', 'pressure']"
8,4,"['temperature', 'CF-content', 'PI-content', 'GP-content']"
8,3,"['temperature', 'CF-content', 'PI-content']"
8,2,"['temperature', 'CF-content']"
8,1,['temperature']
9,7,"['temperature', 'PI-content', 'CF-content', 'GP-content', 'time', 'pressure', 'Sizing agent-content']"
9,6,"['temperature', 'PI-content', 'CF-content', 'GP-content', 'time', 'pressure']"
9,5,"['temperature', 'PI-content', 'CF-content', 'GP-content', 'time']"
9,4,"['temperature', 'PI-content', 'CF-content', 'GP-content']"
9,3,"['temperature', 'PI-content', 'CF-content']"
9,2,"['temperature', 'PI-content']"
9,1,['temperature']
10,7,"['temperature', 'CF-content', 'GP-content', 'PI-content', 'Sizing agent-content', 'pressure', 'time']"
10,6,"['temperature', 'CF-content', 'GP-content', 'PI-content', 'Sizing agent-content', 'pressure']"
10,5,"['temperature', 'CF-content', 'GP-content', 'PI-content', 'Sizing agent-content']"
10,4,"['temperature', 'CF-content', 'GP-content', 'PI-content']"
10,3,"['temperature', 'CF-content', 'GP-content']"
10,2,"['temperature', 'CF-content']"
10,1,['temperature']
