Dataset,n_features,Selected_Features
1,7,"['temperature PI-content', 'PI-content^2', 'PI-content', 'PI-content GP-content', 'PI-content CF-content', 'CF-content', 'pressure PI-content']"
1,6,"['temperature PI-content', 'PI-content^2', 'PI-content', 'PI-content GP-content', 'PI-content CF-content', 'CF-content']"
1,5,"['temperature PI-content', 'PI-content^2', 'PI-content', 'PI-content GP-content', 'PI-content CF-content']"
1,4,"['temperature PI-content', 'PI-content^2', 'PI-content', 'PI-content GP-content']"
1,3,"['temperature PI-content', 'PI-content^2', 'PI-content']"
1,2,"['temperature PI-content', 'PI-content^2']"
1,1,['temperature PI-content']
2,7,"['temperature PI-content', 'temperature pressure', 'PI-content^2', 'PI-content', 'PI-content CF-content', 'time CF-content', 'CF-content']"
2,6,"['temperature PI-content', 'temperature pressure', 'PI-content^2', 'PI-content', 'PI-content CF-content', 'time CF-content']"
2,5,"['temperature PI-content', 'temperature pressure', 'PI-content^2', 'PI-content', 'PI-content CF-content']"
2,4,"['temperature PI-content', 'temperature pressure', 'PI-content^2', 'PI-content']"
2,3,"['temperature PI-content', 'temperature pressure', 'PI-content^2']"
2,2,"['temperature PI-content', 'temperature pressure']"
2,1,['temperature PI-content']
3,7,"['PI-content GP-content', 'temperature GP-content', 'pressure GP-content', 'temperature PI-content', 'temperature^2', 'temperature', 'CF-content GP-content']"
3,6,"['PI-content GP-content', 'temperature GP-content', 'pressure GP-content', 'temperature PI-content', 'temperature^2', 'temperature']"
3,5,"['PI-content GP-content', 'temperature GP-content', 'pressure GP-content', 'temperature PI-content', 'temperature^2']"
3,4,"['PI-content GP-content', 'temperature GP-content', 'pressure GP-content', 'temperature PI-content']"
3,3,"['PI-content GP-content', 'temperature GP-content', 'pressure GP-content']"
3,2,"['PI-content GP-content', 'temperature GP-content']"
3,1,['PI-content GP-content']
4,7,"['temperature PI-content', 'temperature^2', 'temperature', 'time temperature', 'GP-content', 'PI-content GP-content', 'pressure GP-content']"
4,6,"['temperature PI-content', 'temperature^2', 'temperature', 'time temperature', 'GP-content', 'PI-content GP-content']"
4,5,"['temperature PI-content', 'temperature^2', 'temperature', 'time temperature', 'GP-content']"
4,4,"['temperature PI-content', 'temperature^2', 'temperature', 'time temperature']"
4,3,"['temperature PI-content', 'temperature^2', 'temperature']"
4,2,"['temperature PI-content', 'temperature^2']"
4,1,['temperature PI-content']
5,7,"['temperature PI-content', 'CF-content GP-content', 'PI-content^2', 'PI-content', 'pressure GP-content', 'PI-content GP-content', 'temperature GP-content']"
5,6,"['temperature PI-content', 'CF-content GP-content', 'PI-content^2', 'PI-content', 'pressure GP-content', 'PI-content GP-content']"
