Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2
4,4,5.238708425,0.818707639,8.157378137,0.001597214,7.501772732,0.761699013
4,5,3.992304319,0.894712133,7.689348881,0.295310018,7.882393596,0.736903986
4,6,3.990827185,0.89479003,7.729409181,0.302924167,8.137579467,0.719593214
4,7,3.990415534,0.894811734,7.690373653,0.287453078,8.314770249,0.707248896
10,3,9.10110959,0.53343056,10.01261899,-0.306844049,7.328102428,0.598922349
10,2,9.10110967,0.533430552,10.01285649,-0.306895116,7.328336727,0.598896701
10,1,9.101109382,0.533430582,10.01265496,-0.306912822,7.328878882,0.598837351
2,1,8.777406067,0.536181543,9.400919854,0.230425854,8.630900397,0.593371498
3,6,7.884032298,0.572668208,9.826360753,0.093605552,10.60623199,0.574067571
4,3,8.497469125,0.523008937,9.729024394,-0.279079337,10.15252965,0.56353787
4,2,8.497469011,0.52300895,9.72391105,-0.273741753,10.15253205,0.563537664
4,1,8.497469595,0.523008885,9.991475191,-0.595606168,10.15270779,0.563522553
3,7,7.884031443,0.572668301,9.429894543,0.166158329,10.75409493,0.562108823
3,5,7.884031511,0.572668294,9.822769965,0.091562447,10.84418381,0.554741516
3,4,7.88403234,0.572668204,9.851621512,0.086571819,10.86348739,0.553154908
10,4,8.550152255,0.588210472,10.08887908,-0.492128799,7.910431594,0.53264622
10,5,8.550151801,0.588210516,10.08963011,-0.492213049,7.911246713,0.5325499
8,6,8.271980105,0.608390532,10.1357548,-0.215695485,8.333819612,0.530612281
8,7,8.272004354,0.608388236,10.14269026,-0.217538228,8.4267418,0.520086568
8,4,8.271978984,0.608390638,10.07917976,-0.215376324,8.43580367,0.519053843
8,5,8.272014861,0.608387241,10.18873738,-0.221379091,8.436535872,0.51897035
1,4,7.931519481,0.60187419,9.231197074,-0.179222552,9.243877051,0.518608258
1,6,7.931532062,0.601872927,9.022020935,-0.096887022,9.246099539,0.51837675
1,5,7.931524703,0.601873666,9.01316212,-0.102064225,9.246256005,0.518360449
8,2,8.843528595,0.552404831,9.831016735,-0.199933744,8.457757668,0.516547282
8,3,8.843528595,0.552404831,9.830702717,-0.199986208,8.457761948,0.516546792
8,1,8.843528524,0.552404839,9.830381985,-0.199768373,8.457996731,0.516519951
2,5,7.347421898,0.674998323,9.072221537,0.253407014,9.465287017,0.510950092
2,6,7.347424693,0.674998075,9.045021903,0.25931315,9.529981054,0.504242057
2,7,7.347431409,0.674997481,9.038283817,0.267365595,9.575874212,0.499455756
10,6,7.611671168,0.673646979,9.843473008,-0.212203393,8.194128438,0.498523097
10,7,7.611706257,0.67364397,9.717435413,-0.190902201,8.222243224,0.49507597
1,2,8.690255037,0.522060872,9.898672727,-0.469987091,9.607292273,0.480013198
1,1,8.690255038,0.522060872,9.898207794,-0.469903944,9.607297429,0.48001264
1,3,8.690255038,0.522060872,9.898685073,-0.469979687,9.607306928,0.480011611
6,4,8.234085046,0.620126582,9.640163911,0.22150824,8.346117082,0.431025631
6,3,8.234085475,0.620126543,9.640288208,0.22147416,8.347159311,0.43088352
6,5,8.151721951,0.627688095,9.574443646,0.24215562,8.522210731,0.406762911
6,6,8.151714751,0.627688753,9.651510574,0.231251083,8.57216651,0.399787613
2,2,7.895545589,0.624698814,8.922495795,0.286975673,10.6188587,0.384481245
2,4,7.895545587,0.624698814,8.922450799,0.286970477,10.61887652,0.384479179
2,3,7.895545586,0.624698814,8.922167123,0.287054354,10.61888199,0.384478546
1,7,7.181766662,0.673584988,8.910269392,-0.090822616,10.5231303,0.376149955
6,7,8.15171004,0.627689183,9.627507688,0.234554929,8.817142249,0.364991627
9,5,8.105407799,0.632198304,9.695685109,0.110686087,8.29736522,0.363728201
9,7,8.105408759,0.632198217,9.617478686,0.127648479,8.297454258,0.363714545
9,6,8.105408186,0.632198268,9.670079069,0.117054189,8.298597881,0.363539137
9,2,8.10540839,0.63219825,10.20526213,-0.033971412,8.299763585,0.363360317
9,1,8.938480028,0.552707788,10.59483839,-0.132765891,8.300603771,0.363231416
9,3,8.105407252,0.632198353,9.919732501,0.041305497,8.30245816,0.362946871
9,4,8.105407529,0.632198328,9.977055479,0.02846043,8.303369865,0.362806952
