Dataset,n_features,Selected_Features
1,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
1,6,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content', 'Sizing agent-content']"
1,5,"['time', 'temperature', 'pressure', 'PI-content', 'Sizing agent-content']"
1,4,"['time', 'temperature', 'pressure', 'PI-content']"
1,3,"['temperature', 'pressure', 'PI-content']"
1,2,"['temperature', 'pressure']"
1,1,['temperature']
2,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
2,6,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content', 'Sizing agent-content']"
2,5,"['time', 'temperature', 'pressure', 'PI-content', 'Sizing agent-content']"
2,4,"['time', 'temperature', 'pressure', 'PI-content']"
2,3,"['time', 'temperature', 'pressure']"
2,2,"['temperature', 'pressure']"
2,1,['temperature']
3,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
3,6,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
3,5,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
3,4,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
3,3,"['time', 'temperature', 'pressure']"
3,2,"['temperature', 'pressure']"
3,1,['temperature']
4,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
4,6,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content', 'Sizing agent-content']"
4,5,"['time', 'temperature', 'pressure', 'PI-content', 'Sizing agent-content']"
4,4,"['time', 'temperature', 'pressure', 'PI-content']"
4,3,"['time', 'temperature', 'pressure']"
4,2,"['temperature', 'pressure']"
4,1,['temperature']
5,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
5,6,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content', 'Sizing agent-content']"
5,5,"['time', 'temperature', 'pressure', 'PI-content', 'Sizing agent-content']"
5,4,"['time', 'temperature', 'pressure', 'PI-content']"
5,3,"['temperature', 'pressure', 'PI-content']"
5,2,"['temperature', 'pressure']"
5,1,['pressure']
6,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
6,6,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content', 'Sizing agent-content']"
6,5,"['time', 'temperature', 'pressure', 'PI-content', 'Sizing agent-content']"
6,4,"['time', 'temperature', 'pressure', 'PI-content']"
6,3,"['temperature', 'pressure', 'PI-content']"
6,2,"['temperature', 'pressure']"
6,1,['pressure']
7,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
7,6,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content', 'Sizing agent-content']"
7,5,"['time', 'temperature', 'pressure', 'PI-content', 'Sizing agent-content']"
7,4,"['time', 'temperature', 'pressure', 'PI-content']"
7,3,"['temperature', 'pressure', 'PI-content']"
7,2,"['temperature', 'pressure']"
7,1,['temperature']
8,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
8,6,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content', 'Sizing agent-content']"
8,5,"['time', 'temperature', 'pressure', 'PI-content', 'Sizing agent-content']"
8,4,"['time', 'temperature', 'pressure', 'PI-content']"
8,3,"['time', 'temperature', 'pressure']"
8,2,"['temperature', 'pressure']"
8,1,['temperature']
9,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
9,6,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content', 'Sizing agent-content']"
9,5,"['time', 'temperature', 'pressure', 'PI-content', 'Sizing agent-content']"
9,4,"['time', 'temperature', 'pressure', 'PI-content']"
9,3,"['time', 'temperature', 'pressure']"
9,2,"['temperature', 'pressure']"
9,1,['pressure']
10,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
10,6,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content', 'Sizing agent-content']"
10,5,"['time', 'temperature', 'pressure', 'PI-content', 'Sizing agent-content']"
10,4,"['time', 'temperature', 'pressure', 'PI-content']"
10,3,"['time', 'temperature', 'pressure']"
10,2,"['temperature', 'pressure']"
10,1,['pressure']
