Dataset,n_features,Selected_Features
1,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
1,6,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content']"
1,5,"['time', 'temperature', 'PI-content', 'CF-content', 'GP-content']"
1,4,"['time', 'temperature', 'PI-content', 'GP-content']"
1,3,"['time', 'temperature', 'PI-content']"
1,2,"['time', 'PI-content']"
1,1,['time']
2,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
2,6,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content']"
2,5,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content']"
2,4,"['time', 'temperature', 'PI-content', 'GP-content']"
2,3,"['time', 'temperature', 'PI-content']"
2,2,"['time', 'PI-content']"
2,1,['time']
3,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
3,6,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content']"
3,5,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content']"
3,4,"['time', 'temperature', 'PI-content', 'GP-content']"
3,3,"['time', 'temperature', 'PI-content']"
3,2,"['time', 'PI-content']"
3,1,['time']
4,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
4,6,"['time', 'temperature', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
4,5,"['time', 'temperature', 'PI-content', 'CF-content', 'GP-content']"
4,4,"['time', 'temperature', 'PI-content', 'GP-content']"
4,3,"['time', 'temperature', 'GP-content']"
4,2,"['time', 'GP-content']"
4,1,['time']
5,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
5,6,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content']"
5,5,"['time', 'temperature', 'PI-content', 'CF-content', 'GP-content']"
5,4,"['time', 'temperature', 'PI-content', 'GP-content']"
5,3,"['time', 'temperature', 'PI-content']"
5,2,"['time', 'PI-content']"
5,1,['time']
6,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
6,6,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content']"
6,5,"['time', 'temperature', 'PI-content', 'CF-content', 'GP-content']"
6,4,"['time', 'temperature', 'PI-content', 'CF-content']"
6,3,"['time', 'temperature', 'PI-content']"
6,2,"['time', 'PI-content']"
6,1,['time']
7,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
7,6,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content']"
7,5,"['time', 'temperature', 'PI-content', 'CF-content', 'GP-content']"
7,4,"['time', 'temperature', 'PI-content', 'GP-content']"
7,3,"['time', 'temperature', 'PI-content']"
7,2,"['time', 'PI-content']"
7,1,['time']
8,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
8,6,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content']"
8,5,"['time', 'temperature', 'pressure', 'PI-content', 'GP-content']"
8,4,"['time', 'temperature', 'PI-content', 'GP-content']"
8,3,"['time', 'temperature', 'PI-content']"
8,2,"['time', 'PI-content']"
8,1,['time']
9,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
9,6,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content']"
9,5,"['time', 'temperature', 'PI-content', 'CF-content', 'GP-content']"
9,4,"['time', 'temperature', 'PI-content', 'GP-content']"
9,3,"['time', 'temperature', 'PI-content']"
9,2,"['time', 'PI-content']"
9,1,['time']
10,7,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
10,6,"['time', 'temperature', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
10,5,"['time', 'temperature', 'PI-content', 'CF-content', 'GP-content']"
10,4,"['time', 'temperature', 'PI-content', 'GP-content']"
10,3,"['time', 'temperature', 'PI-content']"
10,2,"['time', 'PI-content']"
10,1,['time']
