Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2
6,7,0.814844273,0.996279876,3.834271332,,2.925395222,0.930097477
1,7,0.829339761,0.995647162,3.577981213,,3.547301718,0.929109739
10,7,0.818721525,0.996224278,3.537081864,,3.185637541,0.924205425
9,7,0.786245509,0.996539169,3.857711643,,2.918310167,0.921290862
1,6,2.648421601,0.955610343,4.370319315,,3.842731432,0.916810142
2,6,2.205502626,0.970715973,4.208519435,,3.931973471,0.915606934
2,5,2.260748214,0.969230528,4.213663377,,4.074008348,0.909399742
8,7,0.81446389,0.996203548,3.747191709,,3.673837778,0.908781383
6,6,2.527622852,0.964204144,4.249680674,,3.397109911,0.905736632
2,7,0.835916967,0.995793296,3.527602679,,4.163618027,0.905370321
3,7,0.758185636,0.996047976,3.464950549,,5.041216841,0.903774712
9,6,2.525655302,0.964288167,4.398381895,,3.873846347,0.861309395
3,6,2.211522524,0.966375863,4.124269529,,6.167639575,0.855968848
5,7,0.886896074,0.995476841,3.937724855,,4.494876437,0.845929549
3,5,2.192518662,0.966951252,4.157223448,,6.420491579,0.843917208
2,4,4.106899383,0.898458454,6.236954659,,5.360870379,0.843124104
7,7,0.771662677,0.996660675,3.663518448,,4.39026753,0.83768506
5,6,2.425760439,0.966162969,4.240581903,,4.652379229,0.834942959
8,5,2.685871882,0.95871381,4.437951607,,5.002571003,0.830866337
8,6,2.678272688,0.958947103,4.325859646,,5.144748489,0.821115864
4,7,0.525590697,0.998175153,3.064607038,,6.785509628,0.805032161
3,3,5.108279625,0.820601941,5.88516336,,7.418977306,0.791595761
3,4,3.987879978,0.890666671,5.933970248,,7.536206906,0.784957604
8,4,4.383799085,0.890014482,6.42075264,,5.961130023,0.759839975
4,6,3.167852874,0.93370801,4.80044962,,7.643337151,0.752620294
4,5,3.987008327,0.894991287,5.793750454,,7.694004379,0.749329693
8,3,5.372265169,0.834823179,6.336628103,,6.1501474,0.744368375
4,4,3.995669545,0.894534558,5.658483539,,8.072837963,0.724037223
5,5,4.052246504,0.905574751,5.978126461,,6.044219495,0.721410789
10,6,3.224779108,0.941422944,4.926291306,,6.128397371,0.719495885
10,3,5.581228283,0.824536344,6.319574244,,6.128777472,0.719461089
5,4,4.054480052,0.90547063,6.062710091,,6.1548155,0.711122367
2,3,5.00782664,0.849021809,6.297622117,,7.279814777,0.710714767
10,4,4.027698393,0.908622034,5.977687028,,6.253686704,0.707909359
1,4,3.792766085,0.908962639,5.986300472,,7.234184879,0.70517146
10,5,4.011277505,0.90936561,5.850910011,,6.330343853,0.700704627
1,5,3.761460085,0.910459306,6.122125621,,7.30926131,0.69902024
6,5,3.941893705,0.912940128,5.62122101,,6.325772673,0.673148171
6,4,3.951482918,0.912516042,5.98651368,,6.50142431,0.654744362
7,6,1.441746861,0.988343136,3.684398224,,6.462526758,0.648292822
1,3,5.164865003,0.83117938,6.342109992,,8.020408032,0.637604128
5,3,5.235598249,0.842373564,6.407202981,,7.200223227,0.604655446
2,2,8.472065525,0.567890059,9.283301114,,8.841464362,0.573288833
7,5,3.776023958,0.920039926,5.426043872,,7.457532055,0.531654037
6,3,5.058703849,0.856620613,5.89464545,,7.573701418,0.531467073
4,3,3.994400343,0.894601548,5.845381636,,10.64282937,0.52036349
7,4,3.775144815,0.920077154,5.454262428,,7.587783562,0.515151124
9,5,3.914642552,0.914207719,5.63567203,,7.24599263,0.514758387
8,2,8.663601463,0.57043276,9.293179389,,8.489246187,0.512940759
9,4,3.931695549,0.913458633,5.923341968,,7.312760029,0.505774777
9,3,5.428944897,0.834995855,6.131363331,,7.353164483,0.500298304
3,2,7.924858982,0.568230958,8.314209636,,12.51255514,0.407196893
10,2,8.615492917,0.581892594,9.068680811,,8.93396842,0.403879267
6,2,8.527718763,0.592550353,9.147902865,,8.94367067,0.346635769
4,2,7.314637135,0.646559247,8.541861847,,13.00739713,0.283561633
5,2,8.311241357,0.602782644,8.993870252,,9.775852185,0.271225629
2,1,11.30654046,0.230382156,10.53245979,,11.67837981,0.255523836
3,1,11.0934695,0.153936029,10.05422024,,14.06603179,0.250862303
10,1,11.74289743,0.22325559,10.39981187,,10.30369743,0.207075941
7,3,4.691888544,0.87654773,5.577838809,,9.782521838,0.194105529
1,2,7.828570406,0.612142257,8.252159575,,12.06572843,0.179842223
7,1,11.78706117,0.22086129,10.58044591,,10.07702147,0.144852773
4,1,10.44992085,0.2786317,9.844678167,,14.48513429,0.111529348
6,1,11.62029812,0.243441095,10.89211523,,10.51930649,0.096146644
9,1,11.7960233,0.221003994,10.51081168,,10.64961064,-0.048165163
8,1,11.02821987,0.303942603,10.11817945,,12.86330094,-0.118274423
1,1,10.77298622,0.265520377,9.465262062,,14.57794413,-0.197244575
9,2,8.233338908,0.620496336,8.682299409,,11.45544494,-0.212791616
7,2,7.889995084,0.650894113,8.264059618,,12.35550014,-0.285574306
5,1,11.01738479,0.30200315,10.51670004,,13.30216466,-0.349362005
