Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2
1,7,0.114894501,0.999916458,4.201294776,,3.451092374,0.932902941
2,7,0.114894501,0.999920528,3.984886567,,4.368052196,0.895849527
2,6,2.098283591,0.973494011,5.020824005,,4.434381726,0.89266243
3,7,8.75E-14,1,4.589891045,,5.488436203,0.885944639
8,6,2.581484084,0.961860664,5.316420522,,4.132070883,0.884607108
8,7,0.114894501,0.99992445,4.753552239,,4.173389954,0.882287803
10,7,0.114894501,0.999925642,4.313020149,,3.989745064,0.881112637
2,5,4.083275225,0.899623291,6.716523881,,5.329647493,0.844946142
5,7,0.114894501,0.999924091,4.550735075,,4.53191656,0.843379845
3,6,2.084318073,0.97013267,4.875928731,,6.498269894,0.840112706
2,4,4.083275225,0.899623291,6.694705473,,5.496969081,0.835057644
4,6,0.114894501,0.999912797,3.71290597,,6.465613205,0.822981981
4,7,0.114894501,0.999912797,3.835914925,,6.50538086,0.820797737
8,5,4.356349672,0.891387531,6.912054478,,5.316233462,0.808991972
5,6,2.323922837,0.968944406,4.875645149,,5.10521981,0.80124744
8,4,4.356349672,0.891387531,6.818595025,,5.482153989,0.796883132
3,5,3.965746526,0.891876942,6.113957189,,7.624117389,0.779911368
6,7,0.114894501,0.999926038,4.508981343,,5.218412238,0.777566331
3,4,3.965746526,0.891876942,6.13562699,,7.789132283,0.770281156
4,5,3.144795313,0.934669525,5.14945995,,7.860088595,0.738390857
9,7,0.114894501,0.999926097,4.211746269,,5.333935578,0.737059313
4,4,3.98071454,0.895322553,6.04358495,,7.999338244,0.729039393
8,3,5.362866655,0.835400611,6.626199751,,6.350268355,0.727461609
2,3,5.00286589,0.849320778,6.655737811,,7.169761345,0.719395258
5,4,4.034613169,0.906394745,6.110795274,,6.297023851,0.697618989
5,5,4.034613169,0.906394745,6.11052898,,6.305271087,0.696826411
10,3,5.571485927,0.825148373,6.510067289,,6.442230152,0.690031278
10,5,3.176348149,0.943169196,5.260645771,,6.587540211,0.675890352
10,6,3.176348149,0.943169196,5.440761443,,6.635833558,0.671120829
10,4,3.984135822,0.910587987,6.345351368,,6.750147105,0.659692222
7,7,9.03E-14,1,4.672865672,,6.428231211,0.652015819
1,6,2.679880214,0.954549537,5.382214677,,8.028766977,0.63684835
1,4,3.726292006,0.912125815,5.980854975,,8.126359627,0.627966206
1,5,3.726292006,0.912125815,6.027110821,,8.142137178,0.626520176
1,3,5.147509919,0.832312022,6.347920481,,8.549116896,0.588250741
5,3,5.22954335,0.842737939,6.376494859,,7.360944009,0.586808987
7,6,1.215983213,0.991708008,4.177642786,,7.029144056,0.583915621
6,6,3.063394371,0.947420793,5.439287313,,7.187061476,0.578083532
2,2,8.471945562,0.567902296,9.3170199,,8.839096824,0.573517329
6,5,3.91238532,0.914238682,5.890831592,,7.334938608,0.560542659
3,3,3.965746526,0.891876942,6.357841194,,11.08384285,0.534843406
6,4,3.91238532,0.914238682,6.040693159,,7.563235535,0.532761083
8,2,8.843528487,0.552404842,8.089252535,,8.458279927,0.516487574
4,3,3.98071454,0.895322553,6.051116791,,10.72616245,0.512823001
7,5,3.760625907,0.920690726,5.841235075,,7.650283346,0.50713093
7,4,3.760625907,0.920690726,5.717848756,,7.725768966,0.497356631
6,3,5.051418846,0.857033275,5.885031675,,8.094786342,0.464777284
9,3,5.421639292,0.83543964,6.126400556,,7.725469377,0.448415552
9,6,3.044011861,0.948125172,5.144337562,,7.734118243,0.447179834
9,5,3.898118084,0.914930482,5.756061301,,7.747748235,0.445229625
9,4,3.898118084,0.914930482,5.67619291,,7.748843436,0.445072772
10,2,8.615360629,0.581905433,9.013156716,,8.963297909,0.399958811
6,2,8.526927065,0.592626003,9.073131924,,9.002028409,0.338081506
4,2,7.312993712,0.646718048,8.463198632,,13.00619069,0.283694527
5,2,8.310993495,0.602806336,8.881414561,,9.788425002,0.269349856
2,1,11.30653466,0.230382946,10.53391699,,11.66649438,0.257038415
10,1,11.74289279,0.223256204,10.4018209,,10.30207963,0.207324919
7,3,4.685462095,0.876885682,5.929764819,,9.85634365,0.181896599
1,2,7.828471256,0.612152081,8.30071675,,12.07431059,0.178675077
3,2,7.246261825,0.63900893,8.475545746,,14.96405836,0.152153466
6,1,11.2607382,0.289536237,9.621664096,,10.65424004,0.072810058
3,1,9.933856496,0.321571353,8.901360959,,15.79831901,0.054981695
4,1,10.02749077,0.335774426,9.069942471,,14.94187678,0.054615808
9,1,11.79602329,0.221003994,10.51100995,,10.58241841,-0.034980385
8,1,11.93948303,0.18415949,9.393832059,,12.40883473,-0.040652022
1,1,10.23361826,0.33722523,8.643036899,,13.99096545,-0.102771879
5,1,10.80855712,0.328212573,9.223870978,,12.35771003,-0.164554558
9,2,8.233291239,0.62050073,8.590795282,,11.41499575,-0.204242001
7,2,7.889079034,0.650975173,8.181507377,,12.39980433,-0.294810427
7,1,10.44225508,0.388505856,8.773473412,,14.3994737,-0.746102611
