Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2,Selected_Features
7,3,12.46710146,0.128364932,9.841180448,,9.118993409,0.29972225,"['time', 'temperature', 'pressure']"
7,7,12.46710146,0.128364932,9.841180448,,9.118993409,0.29972225,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
7,6,12.46710146,0.128364932,9.841180448,,9.118993409,0.29972225,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
7,5,12.46710146,0.128364932,9.841180448,,9.118993409,0.29972225,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
7,4,12.46710146,0.128364932,9.841180448,,9.118993409,0.29972225,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
7,2,12.4774655,0.12691513,9.760498633,,9.343788384,0.264771198,"['temperature', 'pressure']"
2,3,11.94374822,0.141190332,9.693745473,,11.72174243,0.249984991,"['time', 'temperature', 'pressure']"
2,7,11.94374822,0.141190332,9.693745473,,11.72174243,0.249984991,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
2,6,11.94374822,0.141190332,9.693745473,,11.72174243,0.249984991,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
2,5,11.94374822,0.141190332,9.693745473,,11.72174243,0.249984991,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
2,4,11.94374822,0.141190332,9.693745473,,11.72174243,0.249984991,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
2,2,11.98266229,0.135585018,9.602941362,,11.93808669,0.22204395,"['temperature', 'pressure']"
7,1,12.60736042,0.108642251,9.522684901,,9.883883263,0.177318486,['temperature']
3,2,11.01529083,0.165818891,8.735124266,,14.75533433,0.175640645,"['temperature', 'pressure']"
2,1,12.00756356,0.13198859,9.41620528,,12.30000732,0.174159179,['temperature']
3,7,10.91419563,0.181060381,8.670391464,,14.78199883,0.172658537,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
3,6,10.91419563,0.181060381,8.670391464,,14.78199883,0.172658537,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
3,5,10.91419563,0.181060381,8.670391464,,14.78199883,0.172658537,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
3,4,10.91419563,0.181060381,8.670391464,,14.78199883,0.172658537,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
3,3,10.91419563,0.181060381,8.670391464,,14.78199883,0.172658537,"['time', 'temperature', 'pressure']"
3,1,11.14645178,0.145835146,8.462215957,,15.13185385,0.133032657,['temperature']
5,7,12.05112731,0.164874439,10.10088113,,10.81077055,0.108754934,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
5,6,12.05112731,0.164874439,10.10088113,,10.81077055,0.108754934,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
5,5,12.05112731,0.164874439,10.10088113,,10.81077055,0.108754934,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
5,4,12.05112731,0.164874439,10.10088113,,10.81077055,0.108754934,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
5,3,12.05112731,0.164874439,10.10088113,,10.81077055,0.108754934,"['time', 'temperature', 'pressure']"
4,2,11.09101123,0.187406506,9.044383458,,14.56613367,0.101565093,"['temperature', 'pressure']"
6,3,12.0755451,0.183000678,9.912872738,,10.5693364,0.08752873,"['time', 'temperature', 'pressure']"
6,7,12.0755451,0.183000678,9.912872738,,10.5693364,0.08752873,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
6,6,12.0755451,0.183000678,9.912872738,,10.5693364,0.08752873,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
6,5,12.0755451,0.183000678,9.912872738,,10.5693364,0.08752873,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
6,4,12.0755451,0.183000678,9.912872738,,10.5693364,0.08752873,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
5,2,12.10645159,0.157189055,10.07023557,,10.98351674,0.080044816,"['temperature', 'pressure']"
1,7,11.72035844,0.130660666,9.182739073,,12.78780203,0.078740195,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
1,6,11.72035844,0.130660666,9.182739073,,12.78780203,0.078740195,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
1,5,11.72035844,0.130660666,9.182739073,,12.78780203,0.078740195,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
1,4,11.72035844,0.130660666,9.182739073,,12.78780203,0.078740195,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
1,3,11.72035844,0.130660666,9.182739073,,12.78780203,0.078740195,"['time', 'temperature', 'pressure']"
8,7,11.80853907,0.201956503,9.382070023,,11.73131905,0.069883767,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
8,6,11.80853907,0.201956503,9.382070023,,11.73131905,0.069883767,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
8,5,11.80853907,0.201956503,9.382070023,,11.73131905,0.069883767,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
8,4,11.80853907,0.201956503,9.382070023,,11.73131905,0.069883767,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
8,3,11.80853907,0.201956503,9.382070023,,11.73131905,0.069883767,"['time', 'temperature', 'pressure']"
4,7,10.91446111,0.213070826,8.915377048,,14.84372443,0.066995365,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
4,6,10.91446111,0.213070826,8.915377048,,14.84372443,0.066995365,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
4,5,10.91446111,0.213070826,8.915377048,,14.84372443,0.066995365,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
4,4,10.91446111,0.213070826,8.915377048,,14.84372443,0.066995365,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
4,3,10.91446111,0.213070826,8.915377048,,14.84372443,0.066995365,"['time', 'temperature', 'pressure']"
4,1,11.22852974,0.16713073,8.774232411,,14.91076577,0.058548545,['temperature']
6,2,12.12872237,0.175789168,9.782879175,,10.73653771,0.058430754,"['temperature', 'pressure']"
1,2,11.74725277,0.126666398,9.131319305,,12.98127202,0.050653363,"['temperature', 'pressure']"
8,2,11.84332878,0.197247267,9.303158788,,11.89650294,0.04350619,"['temperature', 'pressure']"
10,7,11.88485089,0.204362808,9.603413986,,11.39221533,0.030692058,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
10,6,11.88485089,0.204362808,9.603413986,,11.39221533,0.030692058,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
10,5,11.88485089,0.204362808,9.603413986,,11.39221533,0.030692058,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
10,4,11.88485089,0.204362808,9.603413986,,11.39221533,0.030692058,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
10,3,11.88485089,0.204362808,9.603413986,,11.39221533,0.030692058,"['time', 'temperature', 'pressure']"
10,2,11.96182956,0.19402268,9.615735549,,11.44738946,0.021280327,"['temperature', 'pressure']"
8,1,12.01740571,0.173475621,9.206619913,,12.24151701,-0.012777425,['temperature']
10,1,12.95708413,0.054324456,10.67074428,,11.65591571,-0.014701254,['pressure']
1,1,11.8471707,0.111746689,8.978678872,,13.52515334,-0.03056339,['temperature']
6,1,13.00371675,0.052578557,10.89847296,,11.44079882,-0.06914462,['pressure']
9,7,11.91007342,0.205867691,9.856560285,,11.44592837,-0.210777409,"['time', 'temperature', 'pressure', 'PI-content', 'CF-content', 'GP-content', 'Sizing agent-content']"
9,6,11.91007342,0.205867691,9.856560285,,11.44592837,-0.210777409,"['time', 'temperature', 'pressure', 'CF-content', 'GP-content', 'Sizing agent-content']"
9,5,11.91007342,0.205867691,9.856560285,,11.44592837,-0.210777409,"['time', 'temperature', 'pressure', 'GP-content', 'Sizing agent-content']"
9,4,11.91007342,0.205867691,9.856560285,,11.44592837,-0.210777409,"['time', 'temperature', 'pressure', 'Sizing agent-content']"
9,3,11.91007342,0.205867691,9.856560285,,11.44592837,-0.210777409,"['time', 'temperature', 'pressure']"
9,2,11.99336453,0.194721589,9.868910137,,11.54563215,-0.231963086,"['temperature', 'pressure']"
5,1,12.69657779,0.07302124,10.65879146,,12.88322983,-0.265707483,['pressure']
9,1,12.84307165,0.076574637,10.63407975,,12.41116233,-0.423597359,['pressure']
