Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2
7,7,10.86649457,0.337809964,8.865169127,,8.23483505,0.428933962
2,7,10.63325223,0.31931234,8.778441324,,10.39073326,0.410643607
2,6,10.62956945,0.319783765,8.649225964,,10.44570012,0.404391737
2,4,10.69288779,0.311655789,8.575963947,,10.7586476,0.368168939
2,5,10.69273068,0.311676015,8.576196861,,10.75923672,0.368099742
7,6,10.89896343,0.333846832,8.810724614,,8.682228326,0.36519706
3,7,9.991008409,0.313742564,8.148961328,,13.12600297,0.347645806
3,6,10.16314365,0.289891775,8.257269112,,13.14278754,0.345976374
3,5,10.19183823,0.285876282,7.989638538,,13.32356986,0.327860112
7,4,10.89898288,0.333844455,8.6014702,,8.940151686,0.3269206
7,5,10.89885442,0.333860158,8.601829209,,8.940604041,0.326852485
8,7,10.57942881,0.359441701,8.661354831,,10.35944996,0.274701257
5,4,10.74699087,0.335843867,8.844533265,,9.859953406,0.258632465
5,7,10.53736052,0.36150117,9.041812585,,9.930186356,0.248033252
10,7,10.63053586,0.363442097,8.688893188,,10.05094222,0.245500504
6,7,10.65936322,0.363393996,8.870882835,,9.623247222,0.243572963
4,5,9.919853391,0.34995779,8.197299542,,13.40278954,0.239343762
8,6,10.66605787,0.3489084,8.571220348,,10.63548797,0.235533652
10,5,10.78741386,0.344515716,8.760456855,,10.13027482,0.233542893
10,6,10.78700238,0.344565722,8.760486491,,10.13137551,0.233376327
10,4,10.81034301,0.341726231,8.504473349,,10.15331188,0.230052959
1,7,10.2693687,0.332586425,8.196200231,,11.75987444,0.22089555
1,6,10.26932618,0.332591952,8.19544446,,11.75992435,0.220888938
4,4,9.921859341,0.349694866,7.966125626,,13.57980059,0.219119064
5,5,10.69675291,0.342038692,9.091172283,,10.12949461,0.217544958
5,6,10.69686303,0.342025146,9.091916618,,10.12952997,0.217539494
8,4,10.68114044,0.347065718,8.481983613,,10.79330926,0.212677299
8,5,10.68115953,0.347063384,8.482328352,,10.79464082,0.212483024
6,6,10.75962111,0.351362334,8.783563336,,9.90360373,0.198856586
4,6,9.608045103,0.390180767,7.974750698,,13.76986212,0.197107838
4,7,9.607894829,0.390199843,7.975169829,,13.77011159,0.197078745
6,4,10.78799581,0.347936717,8.653333735,,9.950409393,0.191266085
6,5,10.78807921,0.347926635,8.653577244,,9.951051253,0.191161745
8,3,12.28820763,0.135805887,9.966519683,,10.97467983,0.185994667
1,5,10.37602558,0.318651021,8.181689526,,12.04795005,0.182257384
2,3,11.99861084,0.133282468,9.701747798,,12.27788617,0.177127001
8,2,12.37315716,0.123816079,10.03913322,,11.07312242,0.17132596
3,3,11.33899747,0.116070291,9.052577489,,14.9468692,0.154100184
3,4,11.33908803,0.116056172,9.05309699,,14.94745488,0.154033891
2,2,12.06592292,0.123530639,9.765640775,,12.45607594,0.15306886
10,3,12.34021589,0.142225529,9.894934354,,10.65582477,0.151953745
8,1,12.4753432,0.109284059,10.12888802,,11.24306214,0.145695383
1,4,10.36837051,0.319656,8.014787846,,12.33413649,0.142946732
2,1,12.18338192,0.106383121,9.86460206,,12.54010378,0.141603639
3,2,11.37729854,0.110088698,9.089339036,,15.10029453,0.136645217
10,2,12.41085407,0.132377233,9.950314206,,10.78264862,0.131647004
3,1,11.49725686,0.091223932,9.162989962,,15.23348936,0.121347296
10,1,12.53427288,0.115035414,10.05443643,,10.89689632,0.113148228
4,3,11.39584936,0.142124134,9.332476046,,14.48870918,0.11109075
4,2,11.44273095,0.135051153,9.384656062,,14.62598422,0.094166796
4,1,11.57896649,0.114332628,9.482081775,,14.71391665,0.08324219
9,4,10.80864976,0.345956134,8.641202136,,10.0109782,0.073777572
9,7,10.53968887,0.378101413,8.870177887,,10.34233436,0.011448248
6,3,12.19519171,0.166730528,10.01643332,,11.05677781,0.001424465
9,5,10.74020507,0.354213242,8.972091505,,10.39697254,0.000975692
9,6,10.74034455,0.354196469,8.972796731,,10.39707418,0.000956159
6,1,12.42817583,0.134587856,10.20803301,,11.16320288,-0.017891276
6,2,12.28192758,0.154835451,10.09250327,,11.18953728,-0.022699427
7,1,12.27432693,0.155112119,9.880705322,,11.41088379,-0.096516293
7,2,12.0946197,0.179670856,9.777522688,,11.42031666,-0.098329924
5,3,11.95344518,0.178358029,9.858609067,,12.00991678,-0.099926929
9,3,12.28222562,0.155464071,9.975550496,,10.91165378,-0.100381847
7,3,11.96174069,0.19759713,9.69329688,,11.44808112,-0.103676817
5,2,12.05481899,0.164362705,9.917031137,,12.04718345,-0.106763648
5,1,12.20015187,0.144092363,9.987944009,,12.09997928,-0.116485512
9,2,12.35998183,0.144737062,10.00827939,,11.0147362,-0.121270671
9,1,12.49275315,0.126263848,10.07760921,,11.10283598,-0.139279047
1,3,11.36782039,0.182172049,8.971555649,,14.30083109,-0.152160201
1,2,11.46200722,0.168563861,9.027840226,,14.36186785,-0.16201616
1,1,11.59997323,0.148427718,9.097003551,,14.44040494,-0.174759752
