Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2,Selected_Features
10,6,0.114956952,0.999925561,3.95755216,,2.572532284,0.950572679,"time, temperature, pressure, PI-content, CF-content, Sizing agent-content"
10,7,0.115006802,0.999925497,3.823863796,,3.104427471,0.928020564,"time, temperature, pressure, PI-content, CF-content, GP-content, Sizing agent-content"
8,6,0.115034394,0.999924266,3.900328219,,3.420515929,0.920927264,"time, temperature, pressure, PI-content, CF-content, Sizing agent-content"
2,7,0.115295691,0.999919972,3.752837816,,3.884174437,0.917646311,"time, temperature, pressure, PI-content, CF-content, GP-content, Sizing agent-content"
2,6,0.115270556,0.999920007,3.921407084,,3.959068184,0.914439844,"time, temperature, pressure, PI-content, GP-content, Sizing agent-content"
8,7,0.114968994,0.999924352,3.861199503,,3.587623055,0.913012441,"time, temperature, pressure, PI-content, CF-content, GP-content, Sizing agent-content"
1,6,0.115004541,0.999916298,3.979632195,,4.206783519,0.900301037,"time, temperature, pressure, PI-content, CF-content, Sizing agent-content"
1,7,0.114976691,0.999916338,3.965317319,,4.467616274,0.887554509,"time, temperature, pressure, PI-content, CF-content, GP-content, Sizing agent-content"
3,7,0.00735391,0.999999628,3.868896437,,5.521746164,0.884556007,"time, temperature, pressure, PI-content, CF-content, GP-content, Sizing agent-content"
2,5,2.076166106,0.974049852,3.82863824,,4.6356744,0.882696369,"time, temperature, pressure, PI-content, Sizing agent-content"
8,5,2.015937723,0.976741139,3.834549909,,4.361861101,0.871415922,"time, temperature, pressure, PI-content, Sizing agent-content"
4,7,0.115084697,0.999912508,3.786657284,,5.844942197,0.855336664,"time, temperature, pressure, PI-content, CF-content, GP-content, Sizing agent-content"
4,6,0.115045723,0.999912568,3.705430389,,5.893690885,0.852913524,"time, temperature, pressure, PI-content, CF-content, Sizing agent-content"
3,6,3.373836902,0.921744192,5.514773671,,6.764049671,0.826766437,"time, temperature, PI-content, CF-content, GP-content, Sizing agent-content"
