Dataset,n_features,Selected_Features
1,7,"['PI-content', 'CF-content', 'GP-content', 'time', 'temperature', 'Sizing agent-content', 'pressure']"
1,6,"['PI-content', 'CF-content', 'GP-content', 'time', 'temperature', 'Sizing agent-content']"
1,5,"['PI-content', 'CF-content', 'GP-content', 'time', 'temperature']"
1,4,"['PI-content', 'CF-content', 'GP-content', 'time']"
1,3,"['PI-content', 'CF-content', 'GP-content']"
1,2,"['PI-content', 'CF-content']"
1,1,['PI-content']
2,7,"['PI-content', 'CF-content', 'pressure', 'temperature', 'GP-content', 'time', 'Sizing agent-content']"
2,6,"['PI-content', 'CF-content', 'pressure', 'temperature', 'GP-content', 'time']"
2,5,"['PI-content', 'CF-content', 'pressure', 'temperature', 'GP-content']"
2,4,"['PI-content', 'CF-content', 'pressure', 'temperature']"
2,3,"['PI-content', 'CF-content', 'pressure']"
2,2,"['PI-content', 'CF-content']"
2,1,['PI-content']
3,7,"['PI-content', 'GP-content', 'temperature', 'CF-content', 'pressure', 'Sizing agent-content', 'time']"
3,6,"['PI-content', 'GP-content', 'temperature', 'CF-content', 'pressure', 'Sizing agent-content']"
3,5,"['PI-content', 'GP-content', 'temperature', 'CF-content', 'pressure']"
3,4,"['PI-content', 'GP-content', 'temperature', 'CF-content']"
3,3,"['PI-content', 'GP-content', 'temperature']"
3,2,"['PI-content', 'GP-content']"
3,1,['PI-content']
4,7,"['temperature', 'PI-content', 'GP-content', 'CF-content', 'time', 'Sizing agent-content', 'pressure']"
4,6,"['temperature', 'PI-content', 'GP-content', 'CF-content', 'time', 'Sizing agent-content']"
4,5,"['temperature', 'PI-content', 'GP-content', 'CF-content', 'time']"
4,4,"['temperature', 'PI-content', 'GP-content', 'CF-content']"
4,3,"['temperature', 'PI-content', 'GP-content']"
4,2,"['temperature', 'PI-content']"
4,1,['temperature']
5,7,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time', 'Sizing agent-content', 'pressure']"
5,6,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time', 'Sizing agent-content']"
5,5,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time']"
5,4,"['PI-content', 'CF-content', 'GP-content', 'temperature']"
5,3,"['PI-content', 'CF-content', 'GP-content']"
5,2,"['PI-content', 'CF-content']"
5,1,['PI-content']
6,7,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time', 'pressure', 'Sizing agent-content']"
6,6,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time', 'pressure']"
6,5,"['PI-content', 'CF-content', 'GP-content', 'temperature', 'time']"
6,4,"['PI-content', 'CF-content', 'GP-content', 'temperature']"
6,3,"['PI-content', 'CF-content', 'GP-content']"
6,2,"['PI-content', 'CF-content']"
6,1,['PI-content']
7,7,"['PI-content', 'GP-content', 'temperature', 'CF-content', 'time', 'pressure', 'Sizing agent-content']"
7,6,"['PI-content', 'GP-content', 'temperature', 'CF-content', 'time', 'pressure']"
7,5,"['PI-content', 'GP-content', 'temperature', 'CF-content', 'time']"
7,4,"['PI-content', 'GP-content', 'temperature', 'CF-content']"
7,3,"['PI-content', 'GP-content', 'temperature']"
7,2,"['PI-content', 'GP-content']"
7,1,['PI-content']
8,7,"['temperature', 'PI-content', 'GP-content', 'time', 'CF-content', 'pressure', 'Sizing agent-content']"
8,6,"['temperature', 'PI-content', 'GP-content', 'time', 'CF-content', 'pressure']"
8,5,"['temperature', 'PI-content', 'GP-content', 'time', 'CF-content']"
8,4,"['temperature', 'PI-content', 'GP-content', 'time']"
8,3,"['temperature', 'PI-content', 'GP-content']"
8,2,"['temperature', 'PI-content']"
8,1,['temperature']
9,7,"['PI-content', 'temperature', 'GP-content', 'CF-content', 'pressure', 'Sizing agent-content', 'time']"
9,6,"['PI-content', 'temperature', 'GP-content', 'CF-content', 'pressure', 'Sizing agent-content']"
9,5,"['PI-content', 'temperature', 'GP-content', 'CF-content', 'pressure']"
9,4,"['PI-content', 'temperature', 'GP-content', 'CF-content']"
9,3,"['PI-content', 'temperature', 'GP-content']"
9,2,"['PI-content', 'temperature']"
9,1,['PI-content']
10,7,"['temperature', 'CF-content', 'GP-content', 'PI-content', 'pressure', 'Sizing agent-content', 'time']"
10,6,"['temperature', 'CF-content', 'GP-content', 'PI-content', 'pressure', 'Sizing agent-content']"
10,5,"['temperature', 'CF-content', 'GP-content', 'PI-content', 'pressure']"
10,4,"['temperature', 'CF-content', 'GP-content', 'PI-content']"
10,3,"['temperature', 'CF-content', 'GP-content']"
10,2,"['temperature', 'CF-content']"
10,1,['temperature']
