targets,time,temperature,pressure,PI-content,CF-content,GP-content,Sizing agent-content
53.05,60,400,20,1.0,0.0,0.0,0.0
84.34,45,430,20,1.0,0.0,0.0,0.0
57.66,50,400,20,1.0,0.0,0.0,0.0
84.66,35,420,15,1.0,0.0,0.0,0.0
94.33,45,420,20,1.0,0.0,0.0,0.0
86.33,30,420,10,1.0,0.0,0.0,0.0
65.88,10,430,20,1.0,0.0,0.0,0.0
78.43,30,420,15,1.0,0.0,0.0,0.0
105.12,40,420,20,1.0,0.0,0.0,0.0
73.155,40,420,20,0.8,0.1,0.1,0.02
68.51,20,420,10,1.0,0.0,0.0,0.0
41.105,40,420,20,0.8,0.15,0.05,0.0
88.88,35,420,10,1.0,0.0,0.0,0.0
72.415,40,420,20,0.9,0.05,0.05,0.0
76.34,15,420,20,1.0,0.0,0.0,0.0
83.38,35,430,20,1.0,0.0,0.0,0.0
81.46,20,420,20,1.0,0.0,0.0,0.0
97.0,35,420,20,1.0,0.0,0.0,0.0
73.43,40,400,20,1.0,0.0,0.0,0.0
47.52,10,400,20,1.0,0.0,0.0,0.0
40.76,40,420,20,0.8,0.05,0.15,0.0
66.66,40,420,20,0.8,0.1,0.1,0.01
75.33,45,410,20,1.0,0.0,0.0,0.0
64.66,15,420,15,1.0,0.0,0.0,0.0
80.77,45,420,10,1.0,0.0,0.0,0.0
73.33,25,420,10,1.0,0.0,0.0,0.0
78.66,53,430,20,1.0,0.0,0.0,0.0
76.33,55,430,20,1.0,0.0,0.0,0.0
76.87,60,420,20,1.0,0.0,0.0,0.0
81.12,50,430,20,1.0,0.0,0.0,0.0
88.62,50,420,15,1.0,0.0,0.0,0.0
70.3,55,420,10,1.0,0.0,0.0,0.0
74.97,20,430,20,1.0,0.0,0.0,0.0
71.65,20,420,15,1.0,0.0,0.0,0.0
67.21,55,410,20,1.0,0.0,0.0,0.0
76.2,40,420,20,0.85,0.075,0.075,0.03
80.94,40,410,20,1.0,0.0,0.0,0.0
94.05,30,420,20,1.0,0.0,0.0,0.0
90.3,45,420,15,1.0,0.0,0.0,0.0
87.37,25,420,20,1.0,0.0,0.0,0.0
58.07,40,420,20,0.8,0.1,0.1,0.0
80.45,30,430,20,1.0,0.0,0.0,0.0
71.7,10,420,20,1.0,0.0,0.0,0.0
65.1,60,410,20,1.0,0.0,0.0,0.0
73.39,25,420,15,1.0,0.0,0.0,0.0
64.015,40,420,20,0.85,0.075,0.075,0.0
81.12,55,420,15,1.0,0.0,0.0,0.0
54.89,90,400,20,1.0,0.0,0.0,0.0
61.0,15,410,20,1.0,0.0,0.0,0.0
61.76,10,420,15,1.0,0.0,0.0,0.0
64.0,45,400,20,1.0,0.0,0.0,0.0
54.735,40,420,20,0.8,0.1,0.1,0.05
65.565,40,420,20,0.75,0.125,0.125,0.05
66.24,30,400,20,1.0,0.0,0.0,0.0
80.175,40,420,20,0.95,0.025,0.025,0.01
50.0,15,400,20,1.0,0.0,0.0,0.0
49.8,40,420,20,0.75,0.125,0.125,0.0
61.65,40,420,20,0.8,0.1,0.1,0.04
78.11,25,430,20,1.0,0.0,0.0,0.0
67.72,60,420,10,1.0,0.0,0.0,0.0
67.14,25,410,20,1.0,0.0,0.0,0.0
63.1,20,400,20,1.0,0.0,0.0,0.0
70.33,30,410,20,1.0,0.0,0.0,0.0
77.0,60,420,15,1.0,0.0,0.0,0.0
56.74,40,420,20,0.8,0.1,0.1,0.0
76.715,40,420,20,0.95,0.025,0.025,0.0
93.08,40,420,15,1.0,0.0,0.0,0.0
