TC,PI-content,CF-content,GP-content,Sizing agent-content
2.21861,1,0,0,0
4.77696,0.8,0.05,0.15,0
4.42992,0.8,0.067,0.133,0
5.29022,0.8,0.1,0.1,0
3.98622,0.8,0.133,0.067,0
3.5753,0.8,0.15,0.05,0
2.30112,0.95,0.025,0.025,0
2.37601,0.9,0.05,0.05,0
3.60528,0.85,0.075,0.075,0
5.57166,0.8,0.1,0.1,0
6.57798,0.75,0.125,0.125,0
6.09837,0.8,0.1,0.1,0.01
11.12583,0.8,0.1,0.1,0.02
9.06922,0.8,0.1,0.1,0.03
7.01154,0.8,0.1,0.1,0.04
6.25183,0.8,0.1,0.1,0.05
2.62062,0.95,0.025,0.025,0.01
2.78251,0.9,0.05,0.05,0.02
6.0028,0.85,0.075,0.075,0.03
13.87381,0.75,0.125,0.125,0.05
