Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2,Selected_Features
9,4,0.000874789,0.999999918,2.97642996,,0.317862695,0.931020405,"PI-content, CF-content, GP-content, Sizing agent-content"
9,3,0.000829367,0.999999926,2.771182871,,0.318113885,0.930911341,"CF-content, GP-content, Sizing agent-content"
1,2,0.212009356,0.995381892,2.481094904,,1.089788179,0.632978544,"GP-content, Sizing agent-content"
5,1,1.375637498,0.677582176,1.456274402,,3.854925727,0.262362489,GP-content
2,3,0.04975695,0.999699247,1.259093454,,2.945665562,0.220352799,"CF-content, GP-content, Sizing agent-content"
2,4,0.049757697,0.999699238,1.128324082,,2.948853245,0.218664478,"PI-content, CF-content, GP-content, Sizing agent-content"
2,2,0.217768252,0.99423908,1.458607433,,3.010064174,0.185890619,"GP-content, Sizing agent-content"
4,3,0.000833115,0.999999882,1.459840947,,3.995739514,0.127255131,"CF-content, GP-content, Sizing agent-content"
4,4,0.000852701,0.999999876,1.407681161,,3.995995985,0.127143092,"PI-content, CF-content, GP-content, Sizing agent-content"
4,1,1.220398405,0.746567398,1.253317586,,4.00154169,0.124718682,GP-content
4,2,0.212009529,0.992351611,1.723303461,,4.006762052,0.12243343,"GP-content, Sizing agent-content"
5,4,0.049759206,0.99957815,1.424693429,,4.284488267,0.088810137,"PI-content, CF-content, GP-content, Sizing agent-content"
5,3,0.04976009,0.999578135,1.497020253,,4.284610992,0.088757936,"CF-content, GP-content, Sizing agent-content"
9,2,1.812707841,0.647451869,2.544620759,,1.163376362,0.075978693,"CF-content, GP-content"
5,2,0.049761201,0.999578116,1.43487601,,4.732038599,-0.111495019,"GP-content, Sizing agent-content"
9,1,1.846677199,0.634114867,2.714232277,,1.343522937,-0.232343234,CF-content
1,3,0.001111472,0.999999873,1.929542384,,2.442395581,-0.843483602,"PI-content, GP-content, Sizing agent-content"
2,1,1.799769575,0.606507426,2.746011559,,4.563231305,-0.871010462,Sizing agent-content
10,4,0.049757961,0.999734482,2.207108395,,2.427068082,-0.962260919,"PI-content, CF-content, GP-content, Sizing agent-content"
1,4,0.00099205,0.999999899,1.922768553,,2.625566633,-1.130361755,"PI-content, CF-content, GP-content, Sizing agent-content"
3,3,0.049761302,0.999760072,1.789643751,,3.092659954,-3.209396133,"PI-content, GP-content, Sizing agent-content"
3,4,0.049760267,0.999760082,1.783999012,,3.092715796,-3.209548145,"PI-content, CF-content, GP-content, Sizing agent-content"
10,3,1.374477547,0.797397777,1.899499497,,3.662183204,-3.467586494,"PI-content, CF-content, GP-content"
10,2,1.374477642,0.797397749,1.934700645,,3.662297785,-3.467866059,"PI-content, CF-content"
1,1,1.291897999,0.828521197,2.316313865,,3.819082583,-3.50739239,GP-content
10,1,1.418976985,0.784066706,2.518845166,,3.722882542,-3.616911025,CF-content
3,2,0.217767937,0.99540501,1.957021494,,3.341739985,-3.914742475,"GP-content, Sizing agent-content"
8,1,1.816237061,0.658781974,2.624042359,,4.445736588,-4.365857788,Sizing agent-content
8,4,0.049758392,0.999743894,2.069943984,,4.507438445,-4.515835599,"PI-content, CF-content, GP-content, Sizing agent-content"
8,3,0.049757277,0.999743906,1.921454608,,4.50783686,-4.516810739,"CF-content, GP-content, Sizing agent-content"
8,2,0.049769828,0.999743776,2.220776366,,4.610421852,-4.770760287,"GP-content, Sizing agent-content"
3,1,1.929744787,0.639175107,2.987580056,,4.2062792,-6.786667836,Sizing agent-content
7,4,0.049758537,0.999755281,1.778368198,,3.210347964,-16.15023796,"PI-content, CF-content, GP-content, Sizing agent-content"
7,3,0.049758537,0.999755281,1.778376424,,3.210347964,-16.15023796,"PI-content, GP-content, Sizing agent-content"
7,2,0.049759467,0.999755272,1.783754975,,3.497201393,-19.35200594,"GP-content, Sizing agent-content"
7,1,1.927257134,0.632877453,3.007229112,,4.199512541,-28.34699921,Sizing agent-content
6,3,0.049758397,0.999714768,1.928840935,,3.478385312,-46.29776196,"PI-content, GP-content, Sizing agent-content"
6,4,0.049759028,0.999714761,1.840319723,,3.494271303,-46.73077184,"PI-content, CF-content, GP-content, Sizing agent-content"
6,2,0.3196585,0.988228341,1.982037792,,3.536665468,-47.89598259,"PI-content, Sizing agent-content"
6,1,1.806443441,0.624064008,2.795846981,,4.482631629,-77.55092731,Sizing agent-content
