learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.2,4,0.6,100,5,0.6,0.68147968,0.949282652,1.943619848,,0.175353786,0.97900713,
0.2,5,0.6,100,5,0.6,0.676664373,0.950023425,1.93419397,,0.176665304,0.978691933,
0.2,6,0.6,100,5,0.6,0.677430559,0.949916742,1.940392316,,0.176665304,0.978691933,
0.2,7,0.6,100,5,0.6,0.677476497,0.949909297,1.940396071,,0.176665304,0.978691933,
0.2,8,0.6,100,5,0.6,0.677476497,0.949909297,1.940396071,,0.176665304,0.978691933,
0.2,7,0.6,100,3,0.6,0.426810943,0.979969011,2.018990247,,0.179032802,0.978117006,1
0.2,8,0.6,100,3,0.6,0.426807832,0.979969295,2.018969386,,0.179032802,0.978117006,
0.2,6,0.6,100,3,0.6,0.426828074,0.97996702,2.018662809,,0.179534789,0.97799412,
0.3,5,0.7,200,10,0.8,0.212656064,0.995028833,2.320637653,,0.179891471,0.977906595,
0.3,6,0.7,200,10,0.8,0.211754202,0.995073804,2.328522602,,0.180940476,0.977648176,
0.3,8,0.7,200,10,0.8,0.212300291,0.995043643,2.336122768,,0.181203203,0.977583219,
0.2,5,0.6,100,3,0.6,0.426427973,0.98001411,2.015825598,,0.181663999,0.977469063,
0.3,7,0.7,200,10,0.8,0.212264485,0.995045065,2.337636063,,0.181792298,0.977437227,
0.2,3,0.7,200,10,0.8,0.446379975,0.978314748,2.094113173,,0.182698883,0.977211628,
0.2,3,0.6,100,5,0.6,0.711631027,0.944730585,1.898484201,,0.182849742,0.977173979,
0.3,5,0.7,100,10,0.8,0.539141836,0.968425542,2.162086973,,0.18467972,0.976714802,
0.3,4,0.7,200,10,0.8,0.215491331,0.994909713,2.297672884,,0.185683241,0.976461058,
0.3,8,0.7,100,10,0.8,0.537861286,0.968574915,2.164597476,,0.186000717,0.976380497,
0.3,6,0.7,100,10,0.8,0.537943051,0.968564765,2.162426213,,0.186079774,0.976360415,
0.3,7,0.7,100,10,0.8,0.537861369,0.968574904,2.164602244,,0.18624671,0.976317981,
0.1,4,0.7,200,5,0.6,0.600452149,0.960754775,2.008490393,,0.187139996,0.976090266,
0.3,6,0.6,100,10,0.6,0.804875626,0.929542755,1.902713389,,0.18800431,0.9758689,
0.3,7,0.6,100,10,0.6,0.804875626,0.929542755,1.902713389,,0.18800431,0.9758689,
