iter	Passed	Remaining
0	0	274
1	0	228
2	0	228
3	0	215
4	0	212
5	1	249
6	1	243
7	1	240
8	1	225
9	1	218
10	2	217
11	2	213
12	2	220
13	2	218
14	3	228
15	3	243
16	3	238
17	4	236
18	4	237
19	4	234
20	4	234
21	4	231
22	5	230
23	6	263
24	6	261
25	6	256
26	6	254
27	7	258
28	7	256
29	7	253
30	7	251
31	8	251
32	8	247
33	8	251
34	8	254
35	9	258
36	12	339
37	13	339
38	13	337
39	13	334
40	14	335
41	14	332
42	14	327
43	14	323
44	14	321
45	15	318
46	15	314
47	15	310
48	15	306
49	15	303
50	15	300
51	16	301
52	16	298
53	16	298
54	16	296
55	17	292
56	17	290
57	17	287
58	17	283
59	17	281
60	17	278
61	17	275
62	18	273
63	18	270
64	18	268
65	18	266
66	18	263
67	18	261
68	18	259
69	19	257
70	19	256
71	19	254
72	19	253
73	19	251
74	20	250
75	20	248
76	20	246
77	20	244
78	20	243
79	20	241
80	20	240
8181	46	518
82	47	519
83	47	514
84	47	510
85	47	506
86	48	509
87	48	506
88	48	501
89	49	497
90	49	493
91	49	489
92	49	485
93	49	481
94	50	477
95	50	473
96	50	470
97	50	466
98	50	464
99	51	461
100	51	457
101	51	455
102	51	451
103	52	448
104	52	444
105	52	442
106	52	439
107	52	436
108	53	433
109	53	431
110	53	428
111	53	425
112	54	424
113	54	423
114	54	422
115	55	425
116	55	422
117	56	419
118	56	417
119	56	414
120	57	416
121	57	415
122	58	415
124	38	271
125	38	271
126	39	270
127	39	269
128	39	268
129	39	267
130	39	266
131	40	265
132	40	264
133	40	264
134	40	263
135	40	262
136	41	261
137	41	259
138	41	258
138	62	387
139	62	386
140	63	386
141	63	384
142	63	382
143	64	380
144	64	378
145	65	381
146	65	379
147	65	378
148	65	375
149	66	374
150	66	372
151	66	370
152	66	368
153	66	366
154	67	365
155	67	363
156	67157	45	245
158	46	245
159	47	249
160	47	248
161	47	247
162	48	247
163	48	246
164	48	245
165	48	244
166	48	243
167	49	243
168	49	242
169	49	242
170	49	241
171	49	240
172	50	239
173	50	239
174	50	238
175	50	238
176	51	237
177	51	236
178	5178	72	331
179	72	330
180	72	328
181	72	327
182	73	326
183	73	325
184	73	324
185	73	323
186	74187	5187	86188	53	229
189	53	229
190	54	228
191	54	229
192	55	232
193	55	232
194	56	231
195	56	232
196	56	231
197	57	231
198	57	230
199	57	230
200	57	229
201	57	229
202	58	228
203	58	227
204	58	227
205	58	226
206	58	225
207	59	224
208	59	224
209	59	223
210	59	222
211	59	222
212	60	221
213	60	221
214	60	221
215	61	221
216	62	225
217	62	225
218	63	225
219	63	224
220	63	224
221	63	223
222	6222	107	376
223	108	374
224	108	374
225	109	373
226	109	372
227	111	377
228	111	376
229	112	377
230	112	376
231	113	374
232	113	373
233	113	371
234	113	370
235	114	369
236	118	380
237	118	379
238	118	378
239	119	377
240	125	393
241	125	392
242	125	390
243	125	389
244	126	388
245	127	389
246	127	388
247	127	386
248	127	385
249	127	383
250	128	382
251	12255	100	293
256	101	293
257	101	292
258	101	291
259	102	291
260	102	290
261	102	289
262	102	288
263	103	288
264	103	288
265	103	287
266	104	286
267	104	286
268	104	286
269	105	286
270	105	285
271	106	284
272	106	283
273	106	283
274	106	282
275	106	281
276	107	280
277	107	279
278	107	278
279	107	277
280	107	276
281	107	275
282	108	275
283	108	274
284	108	273
285	108	272
286	108	271
287	109	270
288	109	270
289	109	269
290	109	268
291	110	267
292	110	267
293	110	266
294	111	266
295	111	265
296	115	275
297	116	275
298	116	274
299	117	274
300	117	273
301	117	272
302	117	272
303	118	271
304	118	270
305	118	269
306	120	272
307	121	274
308	121	273
309	122	272
310	122	271
311	122	271
312	122	270
313	123	269
314	123	269
315	123	268
316	123	267
317	124	266
318	124	266
319	124	265
320	124	264
321	124	263
322	125	263
323	125	262
324	125	261
325	125	260
326	125	259
327	126	259
328	126	258
329	126	257
330	126	257
331	127	256
332	127	256
333	127	255
334	152	303
335	152	303
336	153	302
337	153	301
338	154	301
339	161	314
340	161	313
341	172	333
342	172	332
343	173	331
344	174	331
345	174	330
346	175	330
347	175	330
348	176	329
349	176	328
350	176	327
351	177	327
352	177	326
353	178	326
354	179	326
355	179	325
356	179	324
357	180	323
358	180	322
359	180	321
360	180	320
361	181	319
362	181	318
363	181	317
364	181	316
365	181	315
366	182	314
367	182	313
368	182	312
369	182	311
370	182	310
371	183	309
372	183	308
373	183	308
374	183	307
375	183	306
376	184	305
377	184	304
378	184	303
379	184	302
380	185	301
381	185	300
382	185	299
383	185	298
384	185	297
385	186	296
386	186	296
387	186	295
388	186	294
389	187	293
390	187	292
391	187	291
392	187	290
393	188	290
394	188	289
395	188	288
396	188	287
397	189	286
398	189	285
399	189	284
400	189	284
401	189	283
402	190	282
403	190	281
404	190	281
405	193	283
406	193	282
407	193	282
408	194	281
409	194	280
410	195	280
411	195	279
412	195	278
413	196	278
414	196	277
415	196	276
416	197	276
417	197	275
418	197	275
419	198	274
420	198	273
421	198	272
422	198	271
423	199	270
424	199	270
425	199	269
426	199	268
427	199	267
428	200	267
429	226	300
430	226	299
431	226	299
432	227	299
433	228	298
434	228	297
435	228	296
436	228	295
437	229	294
438	229	294
439	236	301
440	236	300
441	237	300
442	257	324
443	258	323
444	258	322
445	258	321
446	258	320
447	258	319
448	259	318
449	259	317
450	259	316
451	260	316
452	260	315
453	260	314
454	261	313
455	261	312
456	261	311
457	261	310
458	261	309
459	262	308
460	262	307
461	262	306
462	262	305
463	262	304
464	263	303
465	263	302
466	263	301
467	263	300
468	263	299
469	264	298
470	264	297
471	264	296
472	264	295
473	265	294
474	265	293
475	265	292
476	265	292
477	266	291
478	266	290
479	266	289
480	266	288
481	266	287
482	267	286
483	267	285
484	267	284
485	267	283
486	271	286
487	271	285
488	272	284
489	272	283
490	272	283
491	272	282
492	272	281
493	273	280
494	273	279
495	273	278
496	273	277
497	273	276
498	274	275
499	274	274
500	274	274
501	274	273
502	275	272
503	275	271
504	275	270
505	275	269
506	276	269
507	276	268
508	276	267
509	276	266
510	277	265
511	277	264
512	277	263
513	277	263
514	277	262
515	278	261
516	278	260
517	278	259
518	278	258
519	278	257
520	279	257
521	279	256
522	279	255
523	279	254
524	280	253
525	280	253
526	280	252
527	280	251
528	280	250
529	281	249
530	281	248
531	281	248
532	281	247
533	281	246
534	282	245
535	282	244
536	296	256
537	297	256
538	297	255
539	298	254
540	303	258
541	304	257
542	304	256
543	305	256
544	305	255
545	325	271
546	326	271
547	327	270
548	327	269
549	327	268
550	327	267
551	328	266
552	328	266
553	328	265
554	328	264
555	329	263
556	329	262
557	329	261
558	330	260
559	330	260
560	331	259
561	331	259
562	332	258
563	332	257
564	333	257
565	333	256
566	334	255
567	334	254
568	334	254
569	335	253
570	335	252
571	335	251
572	336	250
573	336	250
574	336	249
575	336	248
576	337	247
577	337	246
578	337	245
579	337	245
580	338	244
581	338	243
582	338	242
583	338	241
584	339	241
585	339	240
586	340	239
587	340	238
588	340	238
589	341	237
590	341	236
591	341	236
592	342	235
593	342	234
594	343	233
595	343	233
596	344	232
597	344	232
598	345	231
599	345	230
600	345	229
601	346	229
602	346	228
603	346	227
604	346	226
605	347	226
606	347	225
607	347	224
608	347	223
609	347	222
610	348	222
611	348	221
612	348	220
613	348	219
614	349	218
615	349	218
616	349	217
617	349	216
618	350	215
619	350	215
620	350	214
621	351	213
622	351	213
623	351	212
624	351	211
625	352	210
626	352	209
627	352	209
628	353	208
629	353	207
630	353	207
631	353	206
632	354	205
633	354	204
634	354	204
635	354	203
636	355	202
637	355	201
638	355	201
639	356	200
640	356	199
641	356	199
642	356	198
643	357	197
644	357	196
645	357	196
646	357	195
647	358	194
648	358	194
649	358	193
650	359	192
651	359	192
652	359	191
653	360	190
65658	414	214
659	415	213
660	415	213
661	416	212
662	416	211
663	417	211
664	417	210
665	418	209
666	418	208
667	418	208
668	418	207
669	419	206
670	419	205
671	419	204
672	420	204
673	420	203
674	420	202
675	421	201
676	421	201
677	421	200
678	431	203
679	431	203
680	432	202
681	433	201
682	433	201
683	433	200
684	434	199
685	434	198
686	434	198
687	435	197
688	435	196
689	435	195
690	435	194
691	436	194
692	436	193
693	436	192
694	436	191
695	436	190
696	437	190
697	437	189
698	437	188
699	438	187
700	438	186
701	438	186
702	438	185
703	439	184
704	439	183
705	439	1870706	440	18703	383	161
704	408	171
705	408	170
706	409	169
707	409	169
708	409	168
709	409	167
710	410	166
711	410	166
712	410	165
713	411	164
714	411	164
715	411	163
716	411	162
717	412	162
718	412	161
719	412	160
720	412	159
721	413	159
722	413	158
723	413	157
724	413	157
725	414	156
726	414	155
727	414	155
728	414	154
729	415	153
730	415	153
731	415	152
732	415	151
733	416	151
734	416	150
735	416	149
736	416	148
737	417	148
738	417	147
739	417	146
740	417	146
741	417	145
742	418	144
743	418	144
744	418	143
745	418	142
746	419	142
747	419	141
748	419	140
749	431	143
750	431	143
751	431	142
752	431	141
753	432	141
754	432	140
755	433	140
756	434	139
757	435	139
758	435	138
759	435	137
760	436	137
761	436	136
762	436	135
763	436	135
764	440	135
765	441	134
766	441	134
767	441	133
768	442	133
769	442	132
770	442	131
771	443	131
772	443	130
773	443	129
774	444	129
775	444	128
776	444	127
777	444	127
778	445	126
779	445	125
780	445	125
781	445	124
782	446	123
783	446	123
784	446	122
785	446	121
786	447	121
787	447	120
788	447	119
789	447	119
790	448	118
791	448	117
792	448	117
793	448	116
794	449	115
795	449	115
796	449	114
797	449	113
798	449	113
799	450	112
800	450	112
801	450	111
802	450	110
803	451	110
804	451	109
805	451	108
806	451	108
807	452	107
808	452	106
809	452	106
810	452	105
811	452	105
812	453	104
813	453	103
814	453	103
815	454	102
816	454	101
817	454	101
818	454	100
819	454	99
820	455	99
821	455	98
822	455	98
823	456	97
824	457	97
825	457	96
826	457	95
827	458	95
828	458	94
829	464	95
830	464	94
831	465	94
832	465	93
833	465	92
834	466	92
835	466	91
836	466	91
837	467	90
838	467	89
839	467	89
840	468	88
841	468	87
842	468	87
843	468	86
844	469	86
845	472	86
846	472	85
847	473	84
848	473	84
849	474	83
850	474	83
851	474	82
852	475	81
853	475	81
854	476	80
855	476	80
856	476	79
857	476	79
858	477	78
859	477	77
860	479	77
861	47864	533	83
865	533	82
866	533	81
867	534	81
868	534	80
869	534	79
870	534	79
871	535	78
872	535	77
873	535	77
874	536	76
875	536	75
876	537	75
877	537	74
878	537	74
879	537	73
880	538	72
881	538	72
882	539	71
883	539	70
884	540	70
885	540	69
886	541	68
887	541	68
888	541	67
889	542	66
890	542	66
891	542	65
892	542	65
893	543	64
894	543	63
895	543	63
896	544	62
897	544	61
898	544	61
899	545	60
900	545	59
901	545	59
902	546	58
903	546	58
904	546	57
905	547	56
906	547	56
907	547	55
908	548	54
909	548	54
910	548	53
911	548	52
912	549	52
913	549	51
914	550	51
915	550	50
916	550	49
917	551	49
918	551	48
919	551	47
920	551	47
921	552	46
922	552	46
923	553	45
924	553	44
925	553	44
926	553	43
927	554	42
928	554	42
929	554	41
930	555	41
931	555	40
932	555	39
933	556	39
934	556	38
935	556	38
936	557	37
937	557	36
938	557	36
939	558	35
940	558	35
941	558	34
942	559	33
943	559	33
944	559	32
945	559	31
946	560	31
947	560	30
948	560	30
949	561	29
950	561	28
951	561	28
952	561	27
953	562	27
954	562	26
955	562	25
956	563	25
957	563	24
958	563	24
959	563	23
960	564	22
961	564	22
962	564	21
963	564	21
964	565	20
965	565	19
966	565	19
967	565	18
968	566	18
969	566	17
970	566	16
971	567	16
972	567	15
973	567	15
974	567	14
975	568	13
976	568	13
977	568	12
978	569	12
979	569	11
980	569	11
981	570	10
982	570	9
983	570	9
984	571	8
985	571	8
986	571	7
987	571	6
988	572	6
989	572	5
990	572	5
991	573	4
992	573	4
993	573	3
994	573	2
995	574	2
996	574	1
997	574	1
998	575	0
999	575	0
19	1
998	520	0
999	520	0
98	463	0
999	463	0
