learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.01,4,0.9,300,1,0.8,3.77265893,0.942752536,9.456729527,,2.08511677,0.972865905,
0.01,8,0.9,300,1,0.8,3.613974043,0.947511151,9.381818171,,2.086114483,0.972839932,
0.01,6,0.9,300,1,0.8,3.61683629,0.947427223,9.375028009,,2.086594474,0.972827432,
0.01,7,0.9,300,1,0.8,3.61371844,0.947518418,9.380515213,,2.089760897,0.9727449,
0.01,5,0.9,300,1,0.8,3.638441769,0.946785684,9.39300334,,2.155048756,0.971015302,
0.01,7,0.8,300,1,0.8,4.067956648,0.933533607,9.12065136,,2.307725617,0.966762916,
0.01,6,0.8,300,1,0.8,4.0702717,0.933456873,9.112430449,,2.320551883,0.966392428,
0.01,8,0.8,300,1,0.8,4.067950056,0.93353383,9.120760078,,2.329572971,0.966130623,
0.01,5,0.8,300,1,0.8,4.085785954,0.932946196,9.104946966,,2.356644755,0.965338862,
0.01,8,0.9,400,1,0.8,2.291355381,0.978865937,9.114705677,,2.387072577,0.964438029,1
0.01,7,0.9,400,1,0.8,2.291387154,0.978865263,9.115164156,,2.39459186,0.964213636,
0.01,6,0.9,400,1,0.8,2.299352048,0.978714201,9.103344793,,2.403173689,0.963956671,
0.01,4,0.8,300,1,0.8,4.198045346,0.929195027,9.084370728,,2.412202267,0.963685337,
0.01,8,0.7,300,1,0.8,4.664905265,0.912591265,8.843613024,,2.436369904,0.962954025,
0.01,7,0.7,300,1,0.8,4.66320203,0.912652714,8.843396063,,2.440553327,0.962826695,
0.01,5,0.7,300,1,0.8,4.676979128,0.912140464,8.851064796,,2.446748195,0.962637741,
0.01,6,0.7,300,1,0.8,4.664225974,0.912616329,8.850880499,,2.449592845,0.962550814,
0.01,4,0.7,300,1,0.8,4.759237225,0.909004762,8.843538876,,2.454632469,0.962396565,
0.01,5,0.9,400,1,0.8,2.338748309,0.977962538,9.15345108,,2.490831929,0.96127928,
0.01,7,0.8,400,1,0.8,2.747273988,0.96966429,8.855716343,,2.530047308,0.960050453,
0.01,4,0.9,400,1,0.8,2.524958016,0.974279745,9.309556599,,2.542394428,0.959659579,
0.01,6,0.8,400,1,0.8,2.756130434,0.969464776,8.844397898,,2.545267636,0.959568348,
0.01,8,0.8,400,1,0.8,2.746940266,0.969671711,8.856362457,,2.549404528,0.959436812,
0.01,5,0.8,400,1,0.8,2.788571763,0.968730726,8.860547657,,2.552729379,0.959330941,
0.01,3,0.8,300,1,0.8,4.615632989,0.914314328,9.162131424,,2.57668242,0.958564139,
0.01,3,0.7,300,1,0.8,5.066925324,0.896760441,8.965286608,,2.588665082,0.958177855,
0.01,8,0.6,300,1,0.8,5.351546308,0.884855238,8.743838186,,2.601212198,0.957771453,
0.01,7,0.6,300,1,0.8,5.351314333,0.884865135,8.742164726,,2.601912036,0.957748727,
0.01,6,0.6,300,1,0.8,5.351738054,0.884844511,8.742532368,,2.613142144,0.957383219,
0.01,7,0.9,400,3,0.8,5.440016249,0.881117459,9.649654741,,2.626134455,0.956958392,
0.01,8,0.9,400,3,0.8,5.440029598,0.881116916,9.649639721,,2.626134455,0.956958392,
0.01,6,0.9,400,3,0.8,5.440482239,0.881097472,9.648079987,,2.626198615,0.956956289,
0.01,5,0.9,400,3,0.8,5.445869226,0.88086505,9.658058996,,2.631696981,0.956775862,
0.01,4,0.9,400,3,0.8,5.494661931,0.878747841,9.650798674,,2.636287584,0.956624935,
0.01,3,0.9,300,1,0.8,4.295287303,0.925760057,9.528940792,,2.646260349,0.956296148,
0.01,5,0.6,300,1,0.8,5.358165801,0.884568162,8.740982647,,2.649116256,0.956201765,
0.01,4,0.8,400,1,0.8,2.939162932,0.965244884,8.885813589,,2.663873076,0.955712452,
0.01,4,0.6,300,1,0.8,5.410035449,0.882310056,8.731558437,,2.665808811,0.955648065,
0.01,4,0.9,300,3,0.8,6.892154197,0.809374987,9.667848101,,2.748148135,0.95286594,
0.01,5,0.9,300,3,0.8,6.869886741,0.810596019,9.690486069,,2.754166215,0.952659279,
0.01,7,0.9,300,3,0.8,6.867886198,0.81070502,9.687430735,,2.756202374,0.952589255,
0.01,8,0.9,300,3,0.8,6.867882612,0.810705217,9.687427874,,2.756202374,0.952589255,
0.01,6,0.9,300,3,0.8,6.868069597,0.810695322,9.685874815,,2.756202907,0.952589237,
0.01,3,0.6,300,1,0.8,5.632787842,0.872377427,8.783141012,,2.785849239,0.95156383,
