number,class,targets,PI-content,CF-content,GP-content
1.0,1.0,105.0,1.0,0.0,0.0
2.0,1.0,40.76,0.8,0.05,0.15
3.0,1.0,41.13,0.8,0.067,0.133
4.0,1.0,58.07,0.8,0.1,0.1
5.0,1.0,54.58,0.8,0.133,0.067
6.0,1.0,41.105,0.8,0.15,0.05
7.0,1.0,76.715,0.95,0.025,0.025
8.0,1.0,72.415,0.9,0.05,0.05
9.0,1.0,64.015,0.85,0.075,0.075
10.0,1.0,56.74,0.8,0.1,0.1
11.0,1.0,49.8,0.75,0.125,0.125
12.0,1.0,66.66,0.8,0.1,0.1
13.0,1.0,73.155,0.8,0.1,0.1
14.0,1.0,64.96,0.8,0.1,0.1
15.0,1.0,61.65,0.8,0.1,0.1
16.0,1.0,54.735,0.8,0.1,0.1
17.0,1.0,80.175,0.95,0.025,0.025
18.0,1.0,78.335,0.9,0.05,0.05
19.0,1.0,76.2,0.85,0.075,0.075
20.0,1.0,65.565,0.75,0.125,0.125
