TS,TC,PI-content,CF-content,GP-content,Sizing agent-content,CF/GP,CF/S,GP/S,CG/S,,
105,2.21861,1,0,0,0,0,0,0,0,,232.95405
40.76,4.77696,0.8,0.05,0.15,0,0.333333333,0,0,0,,194.7088896
41.13,4.42992,0.8,0.067,0.133,0,0.503759398,0,0,0,,182.2026096
58.07,5.29022,0.8,0.1,0.1,0,1,0,0,0,,307.2030754
54.58,3.98622,0.8,0.133,0.067,0,1.985074627,0,0,0,,217.5678876
41.105,3.5753,0.8,0.15,0.05,0,3,0,0,0,,146.9627065
76.715,2.30112,0.95,0.025,0.025,0,1,0,0,0,,176.5304208
72.415,2.37601,0.9,0.05,0.05,0,1,0,0,0,,172.0587642
64.015,3.60528,0.85,0.075,0.075,0,1,0,0,0,,230.7919992
56.74,5.57166,0.8,0.1,0.1,0,1,0,0,0,,316.1359884
49.8,6.57798,0.75,0.125,0.125,0,1,0,0,0,,327.583404
66.66,6.09837,0.8,0.1,0.1,0.01,1,10,10,20,,406.5173442
73.155,11.12583,0.8,0.1,0.1,0.02,1,5,5,10,1,813.9100937
64.96,9.06922,0.8,0.1,0.1,0.03,1,3.333333333,3.333333333,6.66,,589.1365312
61.65,7.01154,0.8,0.1,0.1,0.04,1,2.5,2.5,5,,432.261441
54.735,6.25183,0.8,0.1,0.1,0.05,1,2,2,4,,342.1939151
80.175,2.62062,0.95,0.025,0.025,0.01,1,2.5,2.5,5,,210.1082085
78.335,2.78251,0.9,0.05,0.05,0.02,1,2.5,2.5,5,,217.9679209
76.2,6.0028,0.85,0.075,0.075,0.03,1,2.5,2.5,5,,457.41336
65.565,13.87381,0.75,0.125,0.125,0.05,1,2.5,2.5,5,1,909.6363527
