TS,TC,PI-content,CF-content,GP-content,Sizing agent-content
105,2.21861,1,0,0,0
40.76,4.77696,0.8,0.05,0.15,0
41.13,4.42992,0.8,0.067,0.133,0
58.07,5.29022,0.8,0.1,0.1,0
54.58,3.98622,0.8,0.133,0.067,0
41.105,3.5753,0.8,0.15,0.05,0
76.715,2.30112,0.95,0.025,0.025,0
72.415,2.37601,0.9,0.05,0.05,0
64.015,3.60528,0.85,0.075,0.075,0
56.74,5.57166,0.8,0.1,0.1,0
49.8,6.57798,0.75,0.125,0.125,0
66.66,6.09837,0.8,0.1,0.1,0.01
73.155,11.12583,0.8,0.1,0.1,0.02
64.96,9.06922,0.8,0.1,0.1,0.03
61.65,7.01154,0.8,0.1,0.1,0.04
54.735,6.25183,0.8,0.1,0.1,0.05
80.175,2.62062,0.95,0.025,0.025,0.01
78.335,2.78251,0.9,0.05,0.05,0.02
76.2,6.0028,0.85,0.075,0.075,0.03
65.565,13.87381,0.75,0.125,0.125,0.05
