PI-content,CF-content,Sizing agent-content,GP-content,TS_pred,TC_pred,Pareto_optimal
0.72,0.15,0.03,0.13,66.1543,13.803503,TRUE
0.72,0.15,0.035,0.13,66.1543,13.803503,TRUE
0.74,0.13,0.02,0.13,71.536934,13.34476,TRUE
0.74,0.13,0.025,0.13,71.536934,13.34476,TRUE
0.74,0.13,0.03,0.13,67.1925,13.796109,TRUE
0.74,0.13,0.035,0.13,67.1925,13.796109,TRUE
0.76,0.11,0.02,0.13,71.50727,13.659846,TRUE
0.76,0.11,0.025,0.13,71.50727,13.659846,TRUE
0.76,0.12,0.02,0.12,71.800835,12.937514,TRUE
0.76,0.12,0.025,0.12,71.800835,12.937514,TRUE
0.78,0.09,0.02,0.13,71.93652,12.6516485,TRUE
0.78,0.09,0.025,0.13,71.93652,12.6516485,TRUE
0.78,0.1,0.02,0.12,71.800835,12.937514,TRUE
0.78,0.1,0.025,0.12,71.800835,12.937514,TRUE
0.78,0.11,0.02,0.11,71.800835,12.937514,TRUE
0.78,0.11,0.025,0.11,71.800835,12.937514,TRUE
0.78,0.12,0.02,0.1,71.800835,12.937514,TRUE
0.78,0.12,0.025,0.1,71.800835,12.937514,TRUE
0.86,0.13,0.03,0.01,73.879364,6.2123523,TRUE
0.86,0.13,0.035,0.01,73.879364,6.2123523,TRUE
0.86,0.14,0.03,0,73.61481,6.2186007,TRUE
0.86,0.14,0.035,0,73.61481,6.2186007,TRUE
0.9,0,0.02,0.1,79.2146,5.6857643,TRUE
0.9,0,0.025,0.1,79.2146,5.6857643,TRUE
0.9,0,0.03,0.1,79.31607,5.448167,TRUE
0.9,0,0.035,0.1,79.31607,5.448167,TRUE
0.9,0.01,0.03,0.09,79.653076,4.512071,TRUE
0.9,0.01,0.035,0.09,79.653076,4.512071,TRUE
0.9,0.0125,0.03,0.0875,79.653076,4.512071,TRUE
0.9,0.0125,0.035,0.0875,79.653076,4.512071,TRUE
0.9,0.02,0.03,0.08,79.653076,4.512071,TRUE
0.9,0.02,0.035,0.08,79.653076,4.512071,TRUE
0.9,0.1,0.03,0,77.17091,5.822783,TRUE
0.9,0.1,0.035,0,77.17091,5.822783,TRUE
0.92,0,0.03,0.08,79.653076,4.512071,TRUE
0.92,0,0.035,0.08,79.653076,4.512071,TRUE
0.96,0,0.03,0.04,85.9035,4.214333,TRUE
0.96,0,0.035,0.04,85.9035,4.214333,TRUE
0.96,0.01,0.03,0.03,85.9035,4.214333,TRUE
0.96,0.01,0.035,0.03,85.9035,4.214333,TRUE
0.96,0.02,0.03,0.02,85.9035,4.214333,TRUE
0.96,0.02,0.035,0.02,85.9035,4.214333,TRUE
0.96,0.03,0.03,0.01,80.135956,4.2553525,TRUE
0.96,0.03,0.035,0.01,80.135956,4.2553525,TRUE
0.96,0.04,0.03,0,80.135956,4.2553525,TRUE
0.96,0.04,0.035,0,80.135956,4.2553525,TRUE
0.98,0,0.03,0.02,85.9035,4.214333,TRUE
0.98,0,0.035,0.02,85.9035,4.214333,TRUE
0.98,0.01,0.03,0.01,85.9035,4.214333,TRUE
0.98,0.01,0.035,0.01,85.9035,4.214333,TRUE
0.98,0.02,0.03,0,85.9035,4.214333,TRUE
0.98,0.02,0.035,0,85.9035,4.214333,TRUE
1,0,0,0,97.52934,2.2649682,TRUE
0.7,0.1,0,0.2,53.75099,7.962972,FALSE
0.7,0.1,0.005,0.2,53.75099,7.962972,FALSE
0.7,0.1,0.01,0.2,63.55306,9.9483595,FALSE
0.7,0.1,0.015,0.2,63.55306,9.9483595,FALSE
0.7,0.1,0.02,0.2,67.28228,13.510768,FALSE
0.7,0.1,0.025,0.2,67.28228,13.510768,FALSE
0.7,0.1,0.03,0.2,63.220116,13.402238,FALSE
0.7,0.1,0.035,0.2,63.220116,13.402238,FALSE
0.7,0.1,0.04,0.2,60.956573,11.957961,FALSE
0.7,0.1,0.045,0.2,60.956573,11.957961,FALSE
0.7,0.1,0.05,0.2,59.29934,11.893306,FALSE
0.7,0.1,0.055,0.2,59.29934,11.893306,FALSE
0.7,0.15,0,0.15,52.969242,7.6598263,FALSE
0.7,0.15,0.005,0.15,52.969242,7.6598263,FALSE
0.7,0.15,0.01,0.15,63.045734,9.752357,FALSE
0.7,0.15,0.015,0.15,63.045734,9.752357,FALSE
0.7,0.15,0.02,0.15,66.833466,13.24532,FALSE
0.7,0.15,0.025,0.15,66.833466,13.24532,FALSE
0.7,0.15,0.03,0.15,62.81353,13.501497,FALSE
0.7,0.15,0.035,0.15,62.81353,13.501497,FALSE
0.7,0.15,0.04,0.15,61.258957,12.40089,FALSE
0.7,0.15,0.045,0.15,61.258957,12.40089,FALSE
0.7,0.15,0.05,0.15,61.03218,12.689294,FALSE
0.7,0.15,0.055,0.15,61.03218,12.689294,FALSE
0.7,0.2,0,0.1,57.488583,7.3212886,FALSE
0.7,0.2,0.005,0.1,57.488583,7.3212886,FALSE
0.7,0.2,0.01,0.1,66.451904,9.112283,FALSE
0.7,0.2,0.015,0.1,66.451904,9.112283,FALSE
