group,best_params,TC,TS,combined_test_rmse
1,"{'learning_rate': 0.3, 'max_depth': 4, 'subsample': 0.6, 'n_estimators': 200, 'reg_lambda': 3, 'colsample_bytree': 1.0}","{'train_rmse': 0.005670436537143708, 'train_r2': 0.9999966964036313, 'test_rmse': 3.1785707611204566, 'test_r2': -2.1222741689827656}","{'train_rmse': 0.0295539178676894, 'train_r2': 0.9999965214556435, 'test_rmse': 3.8142100814628868, 'test_r2': 0.9092046108516383}",3.4963904212916717
2,"{'learning_rate': 0.3, 'max_depth': 5, 'subsample': 0.6, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}","{'train_rmse': 0.05980906089306243, 'train_r2': 0.9995654530604995, 'test_rmse': 2.3970304795269155, 'test_r2': 0.4837282488999274}","{'train_rmse': 0.24741106454775358, 'train_r2': 0.9996105156070699, 'test_rmse': 15.42298057793728, 'test_r2': 0.2691441830589202}",8.910005528732098
3,"{'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.6, 'n_estimators': 200, 'reg_lambda': 10, 'colsample_bytree': 0.6}","{'train_rmse': 1.004115676954052, 'train_r2': 0.9023068227924984, 'test_rmse': 1.954770544623455, 'test_r2': -0.6816942084755084}","{'train_rmse': 4.694085384710854, 'train_r2': 0.8940008381454252, 'test_rmse': 14.339919418282593, 'test_r2': 0.16325925313804412}",8.147344981453024
4,"{'learning_rate': 0.4, 'max_depth': 3, 'subsample': 0.8, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 0.8}","{'train_rmse': 0.0007369647133307119, 'train_r2': 0.9999999075828424, 'test_rmse': 3.6313187803797433, 'test_r2': 0.27918848057427803}","{'train_rmse': 0.0007554265606759057, 'train_r2': 0.9999999978817292, 'test_rmse': 8.992634509262269, 'test_r2': -0.33362304025988254}",6.311976644821006
5,"{'learning_rate': 0.2, 'max_depth': 7, 'subsample': 0.8, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 0.6}","{'train_rmse': 0.06726530853215931, 'train_r2': 0.9992291084097396, 'test_rmse': 4.38107088672572, 'test_r2': 0.04726630659196085}","{'train_rmse': 0.4005365906275322, 'train_r2': 0.9992367189901299, 'test_rmse': 12.696316104673823, 'test_r2': 0.3753164334291538}",8.538693495699771
6,"{'learning_rate': 0.3, 'max_depth': 5, 'subsample': 0.8, 'n_estimators': 200, 'reg_lambda': 10, 'colsample_bytree': 0.8}","{'train_rmse': 0.13510873838787651, 'train_r2': 0.9978970349863457, 'test_rmse': 1.8528913236662599, 'test_r2': -12.421007203490369}","{'train_rmse': 0.47681271302712835, 'train_r2': 0.9990198251896211, 'test_rmse': 8.585175587614613, 'test_r2': 0.6804647374138266}",5.219033455640436
7,"{'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 0.8}","{'train_rmse': 0.5209737554958291, 'train_r2': 0.9731735363800925, 'test_rmse': 1.9188754926837732, 'test_r2': -5.127164323182082}","{'train_rmse': 1.5417705420732792, 'train_r2': 0.9858549043399496, 'test_rmse': 15.31137365417214, 'test_r2': 0.10314872072743952}",8.615124573427957
8,"{'learning_rate': 0.3, 'max_depth': 5, 'subsample': 0.6, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.6}","{'train_rmse': 0.6269610669616563, 'train_r2': 0.9593399371714745, 'test_rmse': 2.1941050470441508, 'test_r2': -0.3069727633762971}","{'train_rmse': 1.2938214060712627, 'train_r2': 0.9938358529000485, 'test_rmse': 7.835359597270505, 'test_r2': 0.09933392766117743}",5.014732322157328
9,"{'learning_rate': 0.3, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 1, 'colsample_bytree': 1.0}","{'train_rmse': 0.0009142636826884443, 'train_r2': 0.9999999103179088, 'test_rmse': 0.2846402468662592, 'test_r2': 0.9446861191914394}","{'train_rmse': 0.0008035837574887567, 'train_r2': 0.9999999973393287, 'test_rmse': 7.102773165198679, 'test_r2': 0.7402950278303424}",3.693706706032469
10,"{'learning_rate': 0.4, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 10, 'colsample_bytree': 1.0}","{'train_rmse': 0.3121269828475194, 'train_r2': 0.9895520391862276, 'test_rmse': 1.660178992224425, 'test_r2': 0.08187320005743925}","{'train_rmse': 1.1446481452189343, 'train_r2': 0.9943382913628525, 'test_rmse': 9.102008319260067, 'test_r2': 0.6295639545705769}",5.381093655742246
