params,train_tc_rmse,train_ts_rmse,test_tc_rmse,test_ts_rmse,test_tc_r2,test_ts_r2
"{'learning_rate': 0.2, 'max_depth': 4, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.9114501099390817,11.567955960476647,2.097723694288334,8.47734945762001,-16.20211241572938,0.6884407852167778
"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.6036092561567368,12.401288512510693,1.824782699417269,9.363812926095019,-12.016898656263557,0.6198754794582273
"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.5326313002661514,13.058040991316856,1.7908250617629926,9.29912376176158,-11.536939817500736,0.625109458168841
"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.646235300094222,12.147770276644145,2.5160100951599325,10.323676203727173,-23.746282856697476,0.5379497840864049
"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.588351985967838,12.8163090588048,2.3878442769748034,10.527037358992468,-21.289340355348322,0.5195670819267697
"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.7641076899000163,11.938522555233167,2.7439151094807936,10.855031656838596,-28.43245958747472,0.48916268113634476
"{'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9, 'n_estimators': 300, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.9794379884687094,11.480448373760165,2.2381878058238303,8.374059268154271,-18.582956743616805,0.6959867663428305
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.664387263894028,12.08608450778409,2.541113452159294,10.656928831159961,-24.24255577932984,0.5076379637267816
"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7, 'n_estimators': 300, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.766722434014705,11.93730438330246,2.7950057394010055,10.294582590469862,-29.53870537645876,0.5405503632349653
"{'learning_rate': 0.2, 'max_depth': 5, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.912163058950113,11.493729903696265,2.116233605673156,8.409353105476512,-16.50702804386676,0.6934187394158694
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.664387263894028,12.08608450778409,2.541113452159294,10.656928831159961,-24.24255577932984,0.5076379637267816
"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.7, 'n_estimators': 100, 'reg_lambda': 3, 'colsample_bytree': 0.8}",2.5904490148197006,12.775455104064386,2.00582319327282,9.974756546308882,-14.727891755711658,0.5686547325451815
"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.646235300094222,12.147770276644145,2.5160100951599325,10.323676203727173,-23.746282856697476,0.5379497840864049
"{'learning_rate': 0.2, 'max_depth': 4, 'subsample': 0.7, 'n_estimators': 200, 'reg_lambda': 5, 'colsample_bytree': 1.0}",2.781484720000022,11.612451855510136,2.3127575655634307,9.167716196021749,-19.90958602933047,0.6356298855721872
"{'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.560438415344471,12.976587181019541,1.8012503924969006,9.073182708161417,-11.683332883406038,0.6431055938591625
"{'learning_rate': 0.2, 'max_depth': 5, 'subsample': 0.9, 'n_estimators': 100, 'reg_lambda': 5, 'colsample_bytree': 0.8}",2.912163058950113,11.493729903696265,2.116233605673156,8.409353105476512,-16.50702804386676,0.6934187394158694
"{'learning_rate': 0.2, 'max_depth': 3, 'subsample': 0.8, 'n_estimators': 100, 'reg_lambda': 1, 'colsample_bytree': 0.8}",2.6728881361671313,11.986771692399962,2.5731349321765484,9.084374775600905,-24.882745109516044,0.642224568976523
