PI-content,CF-content,Sizing agent-content,GP-content,SHAP_TS_PI-content,SHAP_TC_PI-content,SHAP_TS_CF-content,SHAP_TC_CF-content,SHAP_TS_Sizing agent-content,SHAP_TC_Sizing agent-content,SHAP_TS_GP-content,SHAP_TC_GP-content
1.0,0.0,0.0,0.0,29.379116,0.0393079,7.80841,-0.8090781,-2.2988446,-0.84575576,0.3313195,-1.281499
0.8,0.05,0.0,0.15,-6.922381,-0.10362975,-4.3338356,-1.0178378,-5.669033,-1.0695955,-4.45126,1.965596
0.8,0.067,0.0,0.133,-6.883109,-0.10362975,-4.4552317,-1.1198825,-5.6950912,-1.0966102,-4.002308,1.928157
0.8,0.1,0.0,0.1,-5.5092783,-0.11554947,0.9110403,0.39538902,-4.031072,-1.1362917,1.766529,0.6535367
0.8,0.133,0.0,0.067,-5.7894306,-0.064296804,-0.76434225,1.4168977,-4.60278,-1.1943924,1.5443825,-1.4704759
0.8,0.15,0.0,0.05,-6.6993823,-0.064296804,-6.4728336,1.3543011,-5.770802,-1.2469646,-0.15259956,-1.5757245
0.95,0.025,0.0,0.025,12.29061,0.0393079,2.2800272,-0.8090781,-2.9441915,-0.84575576,0.4378127,-1.281499
0.9,0.05,0.0,0.05,11.223834,-0.12724572,-1.0178449,-0.9537246,-3.2260115,-0.8600878,1.227611,-1.4770926
0.85,0.075,0.0,0.075,3.2714589,-0.13299589,0.28300828,-0.42013043,-4.259864,-0.80956644,1.3385396,-0.21682417
0.8,0.1,0.0,0.1,-5.5092783,-0.11554947,0.9110403,0.39538902,-4.031072,-1.1362917,1.766529,0.6535367
0.75,0.125,0.0,0.125,-5.6772585,-0.03992086,-0.3178271,1.4711616,-5.96658,-1.3075799,-1.5995088,2.0246239
0.8,0.1,0.01,0.1,-4.7061396,-0.10363733,0.32851502,0.5381325,6.179308,-0.04663094,0.796334,0.70321167
0.8,0.1,0.02,0.1,-4.303746,0.05136238,0.49431652,0.5713044,9.913868,2.8509521,0.81857413,0.6966337
0.8,0.1,0.03,0.1,-5.145727,0.055809557,0.22471099,0.511316,5.522135,2.6443105,0.769663,0.55161834
0.8,0.1,0.04,0.1,-5.4373617,0.055809557,-0.0008855894,0.511316,2.4037876,2.2144144,0.75103,0.5319575
0.8,0.1,0.05,0.1,-6.26493,0.055809557,-0.3172418,0.511316,-1.3704821,2.2144144,0.7128549,0.5319575
0.95,0.025,0.01,0.025,9.326322,0.013350807,1.4228851,-0.93001604,3.8874402,-0.14177725,0.31657055,-1.3159555
0.9,0.05,0.02,0.05,7.676558,-0.3316167,-1.3780221,-1.2269833,6.6187153,2.166536,0.52007926,-1.574158
0.85,0.075,0.03,0.075,3.68326,-0.3470319,0.3897942,-0.5271438,5.9160695,2.2179022,0.6828155,-0.46354088
0.75,0.125,0.05,0.125,-3.1591423,0.13143815,0.5396924,1.7791955,3.692899,2.5993235,-0.6104762,2.267136
