PI-content,CF-content,GP-content,Sizing agent-content,CF/GP,CF/S,GP/S,CG/S,SHAP_TS_PI-content,SHAP_TC_PI-content,SHAP_TS_CF-content,SHAP_TC_CF-content,SHAP_TS_GP-content,SHAP_TC_GP-content,SHAP_TS_Sizing agent-content,SHAP_TC_Sizing agent-content,SHAP_TS_CF/GP,SHAP_TC_CF/GP,SHAP_TS_CF/S,SHAP_TC_CF/S,SHAP_TS_GP/S,SHAP_TC_GP/S,SHAP_TS_CG/S,SHAP_TC_CG/S
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.35163,0.5390365,5.923324,-0.6871553,6.1212554,-1.900683,-0.48607948,-0.6835437,-1.0386852,-0.17894721,-1.4275439,-0.32768917,-0.09170196,0.011554297,-0.07854767,-0.03138673
0.8,0.05,0.15,0.0,0.333333333,0.0,0.0,0.0,-6.2379255,-0.17490189,-2.3966289,-0.71657944,-5.655718,2.0419824,-1.3399544,-1.1253633,-3.1334345,-0.17082149,-3.55233,-0.6113631,-0.16624998,0.022565372,-0.18081701,-0.018932646
0.8,0.067,0.133,0.0,0.503759398,0.0,0.0,0.0,-6.2202854,-0.17490189,-2.4488652,-0.9477639,-5.694529,2.0388513,-1.363043,-1.1769186,-2.8057761,-0.17082149,-3.4653623,-0.6118841,-0.16624998,0.022565372,-0.18081701,-0.018932646
0.8,0.1,0.1,0.0,1.0,0.0,0.0,0.0,-4.9926515,-0.23736927,0.9647448,0.36150488,0.02118487,0.9115761,-0.608734,-0.86488265,1.3789456,0.077158846,-2.646026,-0.54334486,-0.20902885,0.049801655,-0.17767285,-0.026206847
0.8,0.133,0.067,0.0,1.985074627,0.0,0.0,0.0,-4.9411697,-0.2606034,-1.8839552,1.4651086,0.9288489,-1.5399067,-1.1596582,-0.8456134,0.7094637,0.037587564,-2.8637328,-0.36446178,-0.17482731,0.020915069,-0.20285144,-0.03138673
0.8,0.15,0.05,0.0,3.0,0.0,0.0,0.0,-5.39566,-0.2606034,-8.794444,1.4573451,0.665648,-1.9392116,-1.0618057,-0.8414926,-3.3056805,0.037587564,-3.0369961,-0.368819,-0.16761152,0.020915069,-0.20588183,-0.03138673
0.95,0.025,0.025,0.0,1.0,0.0,0.0,0.0,10.631966,0.54601955,1.0758547,-0.6628507,3.9171658,-1.900683,-1.0077609,-0.65402496,0.769958,0.080205984,-1.7692251,-0.30988476,-0.14390555,0.038790576,-0.07854767,-0.03138673
0.9,0.05,0.05,0.0,1.0,0.0,0.0,0.0,9.530885,0.20930134,-0.7479326,-0.7320007,2.073238,-1.9917486,-1.2305921,-0.6596368,1.4247156,0.080205984,-1.8836633,-0.2965885,-0.16144615,0.038790576,-0.07854767,-0.03138673
0.85,0.075,0.075,0.0,1.0,0.0,0.0,0.0,4.643787,0.14545499,-0.12891403,-0.63011324,-0.03830252,-0.30028024,-1.6346197,-0.7546151,1.1626618,0.080205984,-2.639046,-0.40731263,-0.27492374,0.038790576,-0.09743684,-0.026206847
0.8,0.1,0.1,0.0,1.0,0.0,0.0,0.0,-4.9926515,-0.23736927,0.9647448,0.36150488,0.02118487,0.9115761,-0.608734,-0.86488265,1.3789456,0.077158846,-2.646026,-0.54334486,-0.20902885,0.049801655,-0.17767285,-0.026206847
0.75,0.125,0.125,0.0,1.0,0.0,0.0,0.0,-5.388368,-0.22199813,-0.6597223,1.4570915,-3.1837802,2.041047,-1.3947026,-1.238908,1.0453783,0.037587564,-3.3591564,-0.734219,-0.32863766,0.020915069,-0.1789005,-0.018932646
0.8,0.1,0.1,0.01,1.0,10.0,10.0,20.0,-4.364116,-0.3386193,0.37935123,0.35842586,-0.22456574,1.0592091,0.686413,-1.1796024,1.0527307,0.042986836,5.1211967,1.1487364,0.15007062,-0.03978991,0.57560456,0.13103423
0.8,0.1,0.1,0.02,1.0,5.0,5.0,10.0,-3.9535222,-0.23542528,0.5395659,0.3142905,0.015027604,1.3013579,3.159724,2.191324,1.1013454,0.028153002,7.1781898,1.1987696,0.5671833,-0.03978991,0.8071227,0.13103423
0.8,0.1,0.1,0.03,1.0,3.333333333,3.333333333,6.66,-4.672119,-0.25703463,0.15974866,0.055195957,-0.32610628,1.2067089,0.0678567,1.289525,0.9925662,0.028153002,4.503631,1.1987696,0.20778003,-0.03978991,0.68269217,0.13103423
0.8,0.1,0.1,0.04,1.0,2.5,2.5,5.0,-5.0547104,-0.28215712,0.023783395,0.0036990624,-0.43340918,1.1468111,-1.2757512,1.0836377,0.9286809,0.028153002,3.662359,0.25317958,0.25729722,-0.03978991,0.4258962,-0.026206847
0.8,0.1,0.1,0.05,1.0,2.0,2.0,4.0,-5.767837,-0.28559434,0.39802188,-0.0021668263,-0.3974898,0.9211262,-0.44052595,1.0836377,1.21087,0.031729218,-2.934555,-0.9751227,-0.41435045,-0.03978991,-0.23159608,-0.026206847
0.95,0.025,0.025,0.01,1.0,2.5,2.5,5.0,8.23408,0.716434,1.1164185,-0.7748486,3.187839,-2.3312795,0.75725055,-0.83295286,0.6069665,0.046033975,2.4513447,-0.0086483285,0.24068438,-0.028778836,0.21612638,-0.03138673
0.9,0.05,0.05,0.02,1.0,2.5,2.5,5.0,6.9504957,0.12166162,-0.23246372,-0.912205,1.558728,-2.783409,2.5700798,1.5105386,0.99764663,0.028866164,2.723683,-0.030921761,0.31165245,-0.028778836,0.23738232,-0.03138673
0.85,0.075,0.075,0.03,1.0,2.5,2.5,5.0,4.8251247,0.33385497,0.6513052,-0.61485624,0.23936185,-0.9145152,1.4527273,1.296763,0.88191164,0.028866164,3.391387,0.0930722,0.41612118,-0.028778836,0.23420511,-0.026206847
0.75,0.125,0.125,0.05,1.0,2.5,2.5,5.0,-3.6539237,-0.13402794,-0.41017276,2.200058,-1.624119,3.0358698,0.7597916,1.8549756,0.87670267,0.018568426,4.9343934,0.7526773,0.3965378,-0.016509116,0.45507485,-0.018932646
